dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
5,32768,10,2,2.5,6,1044,5,4.6535,4.1141,111.779,7727.76,7848.86,163177,9.95953
1,1024,10,inf,2.5,1,1045,0,0.146,0.0487,0.0658,0.2397,0.5167,5112,9.98438
1,1024,100,inf,2.5,1,1046,0,0.1289,0.0473,1.9659,0.8278,2.9848,51112,99.8281
1,2048,10,inf,2.5,1,1047,0,0.2602,0.0909,0.1345,0.4786,0.9911,10318,10.0762
1,2048,100,inf,2.5,1,1048,0,0.2579,0.0899,2.6318,1.6556,4.6632,102231,99.835
1,4096,10,inf,2.5,1,1049,0,0.4972,0.2064,1.6868,1.217,3.6689,20496,10.0078
1,4096,100,inf,2.5,1,1050,0,0.4624,0.1679,6.1797,2.8453,9.7206,205330,100.259
1,4096,1000,inf,2.5,1,1051,0,0.4809,0.1711,100.64,20.1345,121.5,2047913,999.958
1,8192,10,inf,2.5,1,1052,0,0.9322,0.3414,0.8941,1.8779,4.1652,40913,9.98853
1,8192,100,inf,2.5,1,1053,0,0.9215,0.3362,11.8993,6.401,19.6898,409514,99.979
1,8192,1000,inf,2.5,1,1054,0,0.9289,0.3363,89.5278,45.0249,135.948,4096381,1000.09
1,16384,10,inf,2.5,1,1055,0,1.9951,0.6613,1.3639,3.7844,8.4174,82099,10.0219
1,16384,100,inf,2.5,1,1056,0,1.8333,0.6497,23.7964,13.3524,39.8888,819185,99.9982
1,16384,1000,inf,2.5,1,1057,0,1.825,0.6683,201.264,154.117,358.127,8198468,1000.79
1,32768,10,inf,2.5,1,1058,0,3.8455,1.3463,2.1968,8.2245,16.0955,163406,9.97351
1,32768,100,inf,2.5,1,1059,0,3.6906,1.3004,20.2018,27.4691,53.1683,1639050,100.04
1,32768,1000,inf,2.5,1,1060,0,3.6563,1.3296,373.7,391.379,770.575,16387232,1000.2
1,65536,10,inf,2.5,1,1061,0,7.418,2.6805,4.4601,16.8947,32.5338,328677,10.0304
1,65536,100,inf,2.5,1,1062,0,7.3127,2.6602,27.7973,55.3907,94.158,3273748,99.9069
1,65536,1000,inf,2.5,1,1063,0,7.6615,2.6564,444,859.348,1314.66,32767613,999.988
1,131072,10,inf,2.5,1,1064,0,15.0789,5.8096,4.979,34.554,62.3681,655678,10.0049
1,131072,100,inf,2.5,1,1065,0,14.6239,5.1738,94.056,152.589,268.385,6552351,99.9809
1,131072,1000,inf,2.5,1,1066,0,14.3777,5.5577,651.66,1496.37,2170.07,65537915,1000.03
1,262144,10,inf,2.5,1,1067,0,30.7919,10.925,10.0435,78.7627,134.577,1309868,9.9935
1,262144,100,inf,2.5,1,1068,0,30.6351,11.1565,250.286,376.485,673.4,13103974,99.9754
1,262144,1000,inf,2.5,1,1069,0,29.7595,10.8225,1025.89,3080.94,4151.35,131074392,1000.02
1,524288,10,inf,2.5,1,1070,0,59.7162,21.9561,19.8025,150.93,263.104,2617536,9.98511
1,524288,100,inf,2.5,1,1071,0,60.3762,22.0262,104.106,828.357,1022.77,26213380,99.9961
1,524288,1000,inf,2.5,1,1072,0,59.9041,22.7228,1963.9,6267.81,8322.08,262150281,1000.02
1,1048576,10,inf,2.5,1,1073,0,120.418,43.8724,52.7457,382.462,615.759,5237779,9.99027
1,1048576,100,inf,2.5,1,1074,0,118.539,42.5744,169.96,1720.82,2067.91,52437443,100.016
1,1048576,1000,inf,2.5,1,1075,0,119.647,43.0447,3633.53,12924.6,16736.8,524278243,999.981
1,32768,2,inf,2.5,1,1076,1,4.0989,1.3445,2.6018,10.9871,19.553,33387,2.03778
1,32768,4,inf,2.5,1,1077,1,3.7427,1.3315,1.6218,8.3488,15.9197,65648,4.00684
1,32768,8,inf,2.5,1,1078,1,3.7334,1.3388,3.6119,8.1767,17.3863,131577,8.03082
1,32768,16,inf,2.5,1,1079,1,3.762,1.3348,2.6323,9.0653,17.3022,262344,16.0122
1,32768,32,inf,2.5,1,1080,1,3.6754,1.3324,3.9159,11.4875,20.9191,523447,31.9487
1,32768,64,inf,2.5,1,1081,1,3.687,1.3328,6.2823,18.503,30.3119,1048671,64.0058
1,32768,128,inf,2.5,1,1082,1,3.7444,1.3339,22.65,29.267,57.5058,2095728,127.913
1,32768,256,inf,2.5,1,1083,1,3.8256,1.651,75.1272,49.3584,130.47,4193530,255.953
1,32768,512,inf,2.5,1,1084,1,3.7653,1.3329,129.415,174.802,309.85,8387431,511.928
1,32768,1024,inf,2.5,1,1085,1,3.9092,1.3463,348.291,522.417,876.5,16779861,1024.16
1,32768,2048,inf,2.5,1,1086,1,3.7858,1.6788,853.668,1071.26,1930.9,33559664,2048.32
1,32768,4096,inf,2.5,1,1087,1,4.0927,1.3547,2212.03,1593.05,3811.05,67107672,4095.93
1,32768,10,inf,2.5,1,1088,2,3.8427,1.3848,2.1765,8.7939,16.8023,164313,10.0289
1,32768,10,5,2.5,1,1089,2,3.8836,1.3886,8.5987,99.8517,114.574,163445,9.97589
1,32768,10,4.5,2.5,1,1090,2,3.7046,1.472,8.3242,100.914,114.92,163193,9.96051
1,32768,10,4,2.5,1,1091,2,4.0338,1.3347,8.4341,93.4229,107.73,164073,10.0142
1,32768,10,3.5,2.5,1,1092,2,3.7065,1.3306,8.9099,89.3783,103.819,163992,10.0093
1,32768,10,3,2.5,1,1093,2,3.7222,1.3347,7.526,91.5613,104.648,163772,9.99585
1,32768,10,2.5,2.5,1,1094,2,3.9601,1.3343,23.68,87.5739,117.368,164132,10.0178
1,32768,10,2,2.5,1,1095,2,3.7143,1.3333,3.5343,52.9122,61.9985,164217,10.023
1,32768,10,inf,2.5,1,1096,3,3.9397,1.3332,1.8708,7.6791,15.3071,164041,10.0123
2,32768,10,inf,2.5,1,1097,3,3.6727,2.1018,2.7,18.3346,27.3151,163605,9.98566
3,32768,10,inf,2.5,1,1098,3,3.6842,2.2544,34.6635,295.714,336.812,162905,9.94293
4,32768,10,inf,2.5,1,1099,3,3.7889,2.6584,64.447,946.493,1017.92,163703,9.99164
5,32768,10,inf,2.5,1,1100,3,3.7412,3.5029,485.083,2419.72,2912.6,163941,10.0062
1,32768,10,inf,2.5,1,1101,4,3.8767,1.3699,1.6653,8.2259,15.6402,163365,9.97101
2,32768,10,inf,2.5,1,1102,4,3.7245,1.8485,2.2331,20.9559,29.2763,164234,10.024
3,32768,10,inf,2.5,1,1103,4,3.7129,2.2586,29.3305,292.939,328.735,164494,10.0399
4,32768,10,inf,2.5,1,1104,4,3.9453,2.7645,87.5298,962.887,1057.74,163720,9.99268
5,32768,10,inf,2.5,1,1105,4,3.667,3.2222,448.33,2393.7,2849.48,163957,10.0071
1,32768,10,inf,2.5,2,1106,4,3.6341,1.447,2.7511,5.7211,14.0313,164236,10.0242
2,32768,10,inf,2.5,2,1107,4,3.6953,1.8198,3.9722,11.3856,21.3858,163833,9.99957
3,32768,10,inf,2.5,2,1108,4,3.8173,2.2967,37.7275,173.515,217.862,163660,9.98901
4,32768,10,inf,2.5,2,1109,4,3.6563,2.7237,97.9183,587.013,691.846,163316,9.96802
5,32768,10,inf,2.5,2,1110,4,3.6545,3.1787,443.803,1587.43,2038.6,163255,9.96429
1,32768,10,inf,2.5,3,1111,4,3.7283,1.3352,1.5017,5.1069,12.232,164383,10.0331
2,32768,10,inf,2.5,3,1112,4,3.7425,1.8773,2.5814,9.2804,17.977,163701,9.99152
3,32768,10,inf,2.5,3,1113,4,3.724,2.3597,28.8571,138.226,173.936,163489,9.97858
4,32768,10,inf,2.5,3,1114,4,4.8083,3.1352,81.818,461.001,551.298,163535,9.98138
5,32768,10,inf,2.5,3,1115,4,3.9883,3.2251,455.623,1213.36,1676.78,163637,9.98761
1,32768,10,inf,2.5,4,1116,4,5.0513,1.9155,3.2965,6.0168,16.9701,164534,10.0424
2,32768,10,inf,2.5,4,1117,4,5.1014,2.6718,4.7361,10.1435,23.2399,163719,9.99261
3,32768,10,inf,2.5,4,1118,4,4.9313,2.8934,34.1213,103.094,145.546,163718,9.99255
4,32768,10,inf,2.5,4,1119,4,3.6657,2.7858,100.897,345.817,453.743,163406,9.97351
5,32768,10,inf,2.5,4,1120,4,4.0274,3.2175,417.699,742.946,1168.42,163760,9.99512
1,32768,10,inf,2.5,5,1121,4,4.064,1.3696,2.7539,4.1794,12.8626,164255,10.0253
2,32768,10,inf,2.5,5,1122,4,3.7477,2.0699,2.9495,6.6486,15.9105,163563,9.98309
3,32768,10,inf,2.5,5,1123,4,3.7755,2.5818,19.3104,90.4001,116.575,163549,9.98224
4,32768,10,inf,2.5,5,1124,4,3.7509,3.0693,88.2046,289.228,384.812,163851,10.0007
5,32768,10,inf,2.5,5,1125,4,3.7561,3.5112,454.469,860.598,1322.89,163472,9.97754
1,32768,10,inf,2.5,6,1126,4,3.7756,1.3756,2.0758,4.2755,12.0209,164174,10.0204
2,32768,10,inf,2.5,6,1127,4,4.0715,1.8402,2.5749,6.3741,15.3637,164042,10.0123
3,32768,10,inf,2.5,6,1128,4,3.7621,2.5548,25.8334,77.7331,110.395,163563,9.98309
4,32768,10,inf,2.5,6,1129,4,3.7538,2.7923,93.5454,256.425,357.066,164001,10.0098
5,32768,10,inf,2.5,6,1130,4,4.0028,3.2594,452.779,735.818,1196.42,163700,9.99146
1,32768,10,2,2.5,1,1131,5,3.7829,1.3737,4.7699,52.5449,62.9742,163434,9.97522
2,32768,10,2,2.5,1,1132,5,3.6887,1.7893,5.9172,164.051,175.929,163718,9.99255
3,32768,10,2,2.5,1,1133,5,3.8827,2.2284,4.6002,1140.87,1152.08,163724,9.99292
4,32768,10,2,2.5,1,1134,5,3.7941,2.6532,18.4669,5444.12,5469.58,164185,10.0211
5,32768,10,2,2.5,1,1135,5,3.7519,3.2676,90.0912,22922.5,23020.1,163290,9.96643
1,32768,10,2,2.5,2,1136,5,3.8442,1.441,19.1369,37.1854,62.1056,164081,10.0147
2,32768,10,2,2.5,2,1137,5,3.6601,1.818,18.1091,89.8074,113.891,163662,9.98914
3,32768,10,2,2.5,2,1138,5,3.6661,2.2794,12.3233,669.824,688.596,164374,10.0326
4,32768,10,2,2.5,2,1139,5,3.8094,2.8448,34.2715,3489.33,3530.79,163775,9.99603
5,32768,10,2,2.5,2,1140,5,3.6717,3.2236,155.606,15637.8,15800.9,163839,9.99994
1,32768,10,2,2.5,3,1141,5,3.7087,1.4266,2.7107,24.3149,32.6697,164046,10.0126
2,32768,10,2,2.5,3,1142,5,4.7462,2.0382,8.9466,77.837,94.0884,164382,10.0331
3,32768,10,2,2.5,3,1143,5,3.7663,2.3271,58.5211,519.894,585.051,164560,10.0439
4,32768,10,2,2.5,3,1144,5,3.7471,2.7877,24.9744,2849.16,2881.28,164110,10.0165
5,32768,10,2,2.5,3,1145,5,3.7802,3.2756,66.8805,12030.9,12105.5,163320,9.96826
1,32768,10,2,2.5,4,1146,5,3.8344,1.3329,3.2816,18.3218,27.2714,163497,9.97906
2,32768,10,2,2.5,4,1147,5,3.8024,1.8607,4.2124,52.1587,62.5447,164097,10.0157
3,32768,10,2,2.5,4,1148,5,4.0222,2.3111,6.5725,402.913,416.341,164723,10.0539
4,32768,10,2,2.5,4,1149,5,4.4216,2.8002,60.7941,1973.54,2042.13,164484,10.0393
5,32768,10,2,2.5,4,1150,5,3.7536,3.2209,158.242,9474.14,9639.94,164252,10.0251
1,32768,10,2,2.5,5,1151,5,4.0491,1.3709,2.9389,17.1456,26.0165,163831,9.99945
2,32768,10,2,2.5,5,1152,5,3.7611,1.843,4.9011,45.2229,56.2347,163594,9.98499
3,32768,10,2,2.5,5,1153,5,3.7524,2.5799,11.1744,336.95,354.972,164456,10.0376
4,32768,10,2,2.5,5,1154,5,3.7388,2.7937,40.545,1745.55,1793.17,164852,10.0618
5,32768,10,2,2.5,5,1155,5,3.7431,3.5306,143.17,8408.99,8559.99,163778,9.99622
1,32768,10,2,2.5,6,1156,5,4.6808,1.6126,3.8776,15.8233,26.5113,164077,10.0145
2,32768,10,2,2.5,6,1157,5,4.0163,1.8374,7.1133,39.8081,53.2796,163596,9.98511
3,32768,10,2,2.5,6,1158,5,3.776,2.3119,12.2324,295.631,314.474,162827,9.93817
4,32768,10,2,2.5,6,1159,5,3.9894,2.7946,24.5857,1521.92,1553.87,163438,9.97546
5,32768,10,2,2.5,6,1160,5,4.6368,4.1118,68.0459,7475.6,7552.98,163583,9.98431
