dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimePre,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
1,1024,10,inf,2.5,1,1,0,0.3367,0.1442,0.0389,0.147,0.1897,0.8738,5105,9.9707
1,1024,100,inf,2.5,1,2,0,0.1678,0.0445,0.1521,0.0469,0.5064,0.933,51338,100.27
1,2048,10,inf,2.5,1,3,0,0.3149,0.1072,0.0737,0.2449,0.3307,1.0945,10306,10.0645
1,2048,100,inf,2.5,1,4,0,0.2787,0.0729,0.2142,0.0779,0.9948,1.6565,102712,100.305
1,4096,10,inf,2.5,1,5,0,0.5598,0.1994,0.1141,0.4701,0.5379,2.0104,20328,9.92578
1,4096,100,inf,2.5,1,6,0,0.4772,0.1303,0.4605,0.2774,1.83,3.2483,204719,99.9604
1,4096,1000,inf,2.5,1,7,0,0.4239,0.1131,0.6786,0.2449,11.4049,12.9461,2047576,999.793
1,8192,10,inf,2.5,1,8,0,1.0022,0.4726,0.1271,0.6451,1.0644,3.514,40767,9.95288
1,8192,100,inf,2.5,1,9,0,0.9582,0.3757,0.6039,0.8264,3.9021,6.8322,408728,99.7871
1,8192,1000,inf,2.5,1,10,0,0.915,0.2541,0.9925,0.4295,27.2287,29.9516,4094470,999.626
1,16384,10,inf,2.5,1,11,0,1.8286,0.8051,0.1475,1.2801,2.1597,6.4784,82362,10.054
1,16384,100,inf,2.5,1,12,0,1.7303,0.6938,1.1739,1.0615,8.1526,13.0458,818361,99.8976
1,16384,1000,inf,2.5,1,13,0,1.7312,0.4494,2.2316,0.9781,62.6249,68.2685,8189173,999.655
1,32768,10,inf,2.5,1,14,0,3.4871,1.6895,0.314,2.4641,4.723,13.2883,164192,10.0215
1,32768,100,inf,2.5,1,15,0,3.4045,1.339,2.4812,1.9928,16.1879,25.8862,1638176,99.9863
1,32768,1000,inf,2.5,1,16,0,3.4429,1.2318,4.4104,1.8982,137.869,149.303,16387693,1000.23
1,65536,10,inf,2.5,1,17,0,7.2673,3.5269,0.7563,4.9308,9.6033,27.079,328052,10.0114
1,65536,100,inf,2.5,1,18,0,7.0047,3.0719,3.297,4.0519,33.1766,51.5162,3274824,99.9397
1,65536,1000,inf,2.5,1,19,0,6.7469,1.7967,9.6167,3.8373,185.778,208.688,32772093,1000.12
1,131072,10,inf,2.5,1,20,0,14.0865,7.2023,1.185,10.2781,17.3676,52.404,656271,10.0139
1,131072,100,inf,2.5,1,21,0,13.4552,5.5471,5.4131,8.634,66.31,101.186,6554913,100.02
1,131072,1000,inf,2.5,1,22,0,14.0206,3.4626,18.7005,7.8979,380.161,426.142,65532227,999.942
1,262144,10,inf,2.5,1,23,0,28.3367,14.6982,2.4845,20.4373,35.9505,106.03,1311137,10.0032
1,262144,100,inf,2.5,1,24,0,27.3952,10.8902,29.6728,16.5166,138.111,225.31,13108511,100.01
1,262144,1000,inf,2.5,1,25,0,27.565,6.9806,36.8334,8.486,789.078,871.652,131073985,1000.02
1,524288,10,inf,2.5,1,26,0,56.2643,18.547,4.8361,42.0796,72.601,201.256,2624776,10.0127
1,524288,100,inf,2.5,1,27,0,56.4948,14.9413,4.4044,34.8513,269.608,388.295,26218221,100.015
1,524288,1000,inf,2.5,1,28,0,56.6698,14.649,84.3396,33.5841,1598.63,1793.31,262147867,1000.01
1,1048576,10,inf,2.5,1,29,0,111.282,49.5642,2.7488,84.61,143.391,406.859,5237137,9.98905
1,1048576,100,inf,2.5,1,30,0,110.704,38.7961,149.268,69.8996,548.819,928.811,52429753,100.002
1,1048576,1000,inf,2.5,1,31,0,110.714,28.5936,151.444,32.7463,3259.25,3593.58,524264507,999.955
1,32768,2,inf,2.5,1,32,1,4.0366,0.8718,0.0784,1.4651,7.9142,14.6903,32730,1.99768
1,32768,4,inf,2.5,1,33,1,3.7829,0.8789,0.0969,1.6691,5.4242,12.1785,65451,3.99481
1,32768,8,inf,2.5,1,34,1,3.4918,0.8932,0.1035,1.2136,4.8075,10.8504,130944,7.99219
1,32768,16,inf,2.5,1,35,1,3.4625,0.8947,0.2629,1.1093,4.4916,10.5521,262428,16.0173
1,32768,32,inf,2.5,1,36,1,3.5167,0.8974,3.7074,1.0862,6.2776,15.815,524751,32.0283
1,32768,64,inf,2.5,1,37,1,3.5163,0.8983,0.5365,1.3487,10.2469,16.8747,1049044,64.0286
1,32768,128,inf,2.5,1,38,1,3.5802,0.9266,3.4268,1.0055,16.7986,26.0739,2096075,127.934
1,32768,256,inf,2.5,1,39,1,3.4472,0.8936,2.4465,0.9744,43.8526,51.9537,4192763,255.906
1,32768,512,inf,2.5,1,40,1,3.4513,0.8927,3.9229,1.0068,77.4196,87.0348,8391949,512.204
1,32768,1024,inf,2.5,1,41,1,3.4584,0.8959,4.5111,0.9512,137.493,147.652,16776029,1023.93
1,32768,2048,inf,2.5,1,42,1,3.5548,0.8914,4.9799,0.8163,249.025,259.604,33552202,2047.86
1,32768,4096,inf,2.5,1,43,1,3.583,0.8681,5.2819,0.8028,461.478,472.355,67109524,4096.04
1,32768,10,inf,2.5,1,44,2,9.2786,1.7827,0.2383,1.8801,6.4199,20.019,164114,10.0167
1,32768,10,5,2.5,1,45,2,4.4889,0.9925,3.8998,1.2304,77.2973,88.25,163925,10.0052
1,32768,10,4.5,2.5,1,46,2,3.4884,0.891,3.2653,1.3124,76.2329,85.548,163873,10.002
1,32768,10,4,2.5,1,47,2,3.4991,0.894,3.4704,1.247,81.4377,90.892,163445,9.97589
1,32768,10,3.5,2.5,1,48,2,3.5687,0.8998,3.686,1.2257,81.2397,90.9616,163681,9.9903
1,32768,10,3,2.5,1,49,2,3.4912,0.9248,3.5326,1.3584,81.7392,91.3874,163879,10.0024
1,32768,10,2.5,2.5,1,50,2,3.5074,0.8896,3.7236,1.2378,85.2336,94.9282,164850,10.0616
1,32768,10,2,2.5,1,51,2,3.8103,0.9499,0.4795,1.357,42.7673,49.7066,162828,9.93823
1,32768,10,inf,2.5,1,52,3,3.5205,0.9257,0.16,1.2498,4.7656,10.9533,163770,9.99573
2,32768,10,inf,2.5,1,53,3,3.5242,1.3037,0.1484,1.5289,14.3959,21.2479,163981,10.0086
3,32768,10,inf,2.5,1,54,3,3.6945,1.7066,0.9159,1.7488,71.4065,79.8191,164134,10.0179
4,32768,10,inf,2.5,1,55,3,3.4996,2.1301,1.8885,2.0253,762.995,772.916,163440,9.97559
5,32768,10,inf,2.5,1,56,3,3.5831,2.4803,2.2224,1.9163,1791.31,1801.91,163955,10.007
1,1024,10,inf,2.5,1,57,0,0.1753,0.0724,0.0107,0.0478,0.1939,0.5324,5240,10.2344
1,1024,100,inf,2.5,1,58,0,0.1558,0.0334,0.102,0.032,0.5115,0.8454,51319,100.232
1,2048,10,inf,2.5,1,59,0,0.3135,0.0779,0.0255,0.0797,0.269,0.7833,10194,9.95508
1,2048,100,inf,2.5,1,60,0,0.2253,0.0603,0.1995,0.0668,1.1354,1.7052,102097,99.7041
1,4096,10,inf,2.5,1,61,0,0.5398,0.1178,0.0469,0.1531,0.5324,1.4358,20475,9.99756
1,4096,100,inf,2.5,1,62,0,0.4239,0.1164,0.3603,0.1354,1.7827,2.8642,205027,100.111
1,4096,1000,inf,2.5,1,63,0,0.4216,0.116,0.6548,0.1029,11.3276,12.6701,2048228,1000.11
1,8192,10,inf,2.5,1,64,0,0.959,0.2657,0.0477,0.2949,1.062,2.7163,41048,10.0215
1,8192,100,inf,2.5,1,65,0,0.8858,0.2272,0.9281,0.2913,3.807,6.2294,410181,100.142
1,8192,1000,inf,2.5,1,66,0,0.8422,0.2276,1.2386,0.2031,27.3749,29.9733,4095504,999.879
1,16384,10,inf,2.5,1,67,0,1.7689,0.4526,0.1173,0.6427,2.4324,5.6306,82024,10.0127
1,16384,100,inf,2.5,1,68,0,1.7006,0.4498,0.9773,0.8236,7.4554,11.5659,818660,99.9341
1,16384,1000,inf,2.5,1,69,0,1.6807,0.434,2.2897,0.4067,63.6391,68.6205,8193600,1000.2
1,32768,10,inf,2.5,1,70,0,3.4505,0.896,0.0821,1.12,4.4994,10.3773,163457,9.97662
1,32768,100,inf,2.5,1,71,0,3.4579,0.8867,3.744,1.0063,15.8845,25.3315,1638504,100.006
