dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimeEdges,GenNumEdge,GenAvgDeg
2,32768,10,inf,2.5,1,58,4,3.9847,1.5829,2.528,25.9802,164602,10.0465
3,32768,10,inf,2.5,1,59,4,3.7523,2.0411,40.6409,81.3325,164214,10.0228
4,32768,10,inf,2.5,1,60,4,3.7556,2.4918,110.753,503.7,163834,9.99963
5,32768,10,inf,2.5,1,61,4,4.0371,3.0562,472.984,1573.03,163592,9.98486
1,32768,10,inf,2.5,2,62,4,3.853,1.4256,2.0758,11.7621,163728,9.99316
2,32768,10,inf,2.5,2,63,4,3.7839,1.9237,2.7961,15.72,163799,9.9975
3,32768,10,inf,2.5,2,64,4,3.8107,2.3889,27.6573,47.1364,164129,10.0176
4,32768,10,inf,2.5,2,65,4,3.7501,2.8489,93.3877,284.228,163843,10.0002
5,32768,10,inf,2.5,2,66,4,3.7537,3.6308,481.662,1021.66,164006,10.0101
1,32768,10,inf,2.5,3,67,4,3.8655,1.4619,2.7371,9.5365,163853,10.0008
2,32768,10,inf,2.5,3,68,4,3.7728,2.06,3.3874,12.3084,164822,10.0599
3,32768,10,inf,2.5,3,69,4,3.7955,2.393,27.2445,35.667,163276,9.96558
4,32768,10,inf,2.5,3,70,4,3.7574,2.8513,88.0521,227.915,164177,10.0206
5,32768,10,inf,2.5,3,71,4,4.6772,3.9192,441.985,761.519,164051,10.0129
1,32768,10,inf,2.5,4,72,4,3.8818,1.4711,1.9395,7.5711,164126,10.0175
2,32768,10,inf,2.5,4,73,4,3.9657,1.9881,6.1913,10.1528,163543,9.98187
3,32768,10,inf,2.5,4,74,4,3.8706,2.4506,27.5158,26.9709,164065,10.0137
4,32768,10,inf,2.5,4,75,4,4.0942,2.8452,77.1994,161.245,163598,9.98523
5,32768,10,inf,2.5,4,76,4,3.7505,3.6146,455.882,580.989,164029,10.0115
1,32768,10,inf,2.5,5,77,4,3.8595,1.4631,2.8364,7.6258,164373,10.0325
2,32768,10,inf,2.5,5,78,4,4.0075,1.9834,2.8359,9.3495,163308,9.96753
3,32768,10,inf,2.5,5,79,4,3.969,2.4635,42.1454,25.4512,164283,10.027
4,32768,10,inf,2.5,5,80,4,3.8735,2.9212,93.3125,140.364,163616,9.98633
5,32768,10,inf,2.5,5,81,4,3.8646,3.6801,428.219,527.124,163720,9.99268
1,32768,10,inf,2.5,6,82,4,3.8776,1.4942,3.3865,6.1314,164042,10.0123
2,32768,10,inf,2.5,6,83,4,3.9031,2.0831,2.9733,8.4229,163834,9.99963
3,32768,10,inf,2.5,6,84,4,3.8966,2.7127,33.3324,22.0907,164596,10.0461
4,32768,10,inf,2.5,6,85,4,3.852,2.9278,89.0616,129.687,163851,10.0007
5,32768,10,inf,2.5,6,86,4,3.8687,3.411,444.516,465.173,164224,10.0234
1,32768,10,2,2.5,1,87,5,3.8878,1.4952,4.5713,63.1359,164228,10.0237
2,32768,10,2,2.5,1,88,5,3.9699,1.8772,7.1346,181.43,163964,10.0076
3,32768,10,2,2.5,1,89,5,3.853,2.4185,26.548,1054.8,163255,9.96429
4,32768,10,2,2.5,1,90,5,4.0872,2.8484,48.8933,5485.09,163930,10.0055
5,32768,10,2,2.5,1,91,5,3.6842,3.2375,49.6914,25114.3,163707,9.99188
1,32768,10,2,2.5,2,93,5,3.9466,1.4174,3.6345,38.7135,164103,10.0161
2,32768,10,2,2.5,2,94,5,3.94,1.9312,6.1366,104.238,163588,9.98462
3,32768,10,2,2.5,2,95,5,3.7496,2.3912,17.4191,632.373,163739,9.99384
4,32768,10,2,2.5,2,96,5,3.8405,3.1953,31.2131,3568.36,163338,9.96936
5,32768,10,2,2.5,2,97,5,3.7783,3.4749,307.65,21484.1,163964,10.0076
1,32768,10,2,2.5,3,99,5,3.8297,1.4581,4.2897,29.1051,163980,10.0085
2,32768,10,2,2.5,3,100,5,3.7652,1.9224,4.3525,84.3196,164039,10.0121
3,32768,10,2,2.5,3,101,5,3.788,2.393,19.0381,487.47,162816,9.9375
4,32768,10,2,2.5,3,102,5,3.7709,2.8415,19.091,2872.76,164306,10.0284
5,32768,10,2,2.5,3,103,5,3.776,3.3183,46.8818,12984.8,163865,10.0015
1,32768,10,2,2.5,4,105,5,3.8432,1.4228,4.5148,21.7772,164754,10.0558
2,32768,10,2,2.5,4,106,5,4.076,2.0067,4.857,56.7435,163683,9.99042
3,32768,10,2,2.5,4,107,5,3.8066,2.6889,32.4026,374.673,163336,9.96924
4,32768,10,2,2.5,4,108,5,3.8785,2.9491,53.9633,2078.49,163547,9.98212
5,32768,10,2,2.5,4,109,5,3.8799,3.4226,61.0606,10145.3,164679,10.0512
1,32768,10,2,2.5,5,111,5,4.0116,1.4577,2.6923,19.7115,163425,9.97467
2,32768,10,2,2.5,5,112,5,3.8739,2.0411,5.031,50.0091,164153,10.0191
3,32768,10,2,2.5,5,113,5,4.1349,2.4589,7.457,321.475,164136,10.0181
4,32768,10,2,2.5,5,114,5,3.8789,2.9408,109.89,1756.94,163534,9.98132
5,32768,10,2,2.5,5,115,5,3.8688,3.6749,39.655,9447.31,164359,10.0317
1,32768,10,2,2.5,6,117,5,4.0556,1.4961,3.3985,18.694,163648,9.98828
2,32768,10,2,2.5,6,118,5,3.8762,2.0146,5.7103,45.575,163938,10.006
3,32768,10,2,2.5,6,119,5,4.1132,2.4742,6.6346,284.785,163874,10.0021
4,32768,10,2,2.5,6,120,5,4.097,2.9272,27.9258,1571.76,163830,9.99939
5,32768,10,2,2.5,6,121,5,3.8543,3.4022,76.1572,8459.15,163663,9.9892
1,1024,10,inf,2.5,1,123,0,0.1345,0.0529,0.0854,0.3469,5053,9.86914
1,1024,100,inf,2.5,1,124,0,0.1243,0.0506,1.529,1.1626,51146,99.8945
1,2048,10,inf,2.5,1,125,0,0.2486,0.1002,0.1396,0.6794,10283,10.042
1,2048,100,inf,2.5,1,126,0,0.2398,0.0951,3.374,2.0939,102645,100.239
1,4096,10,inf,2.5,1,127,0,0.5319,0.1878,0.5504,1.4149,20399,9.96045
1,4096,100,inf,2.5,1,128,0,0.4795,0.1883,4.6256,4.7292,205368,100.277
1,4096,1000,inf,2.5,1,129,0,0.487,0.1925,115.527,26.3917,2047375,999.695
1,8192,10,inf,2.5,1,130,0,1.4631,0.3743,1.2295,3.0034,40881,9.98071
1,8192,100,inf,2.5,1,131,0,0.9475,0.372,3.309,10.5238,409632,100.008
1,8192,1000,inf,2.5,1,132,0,1.0115,0.3761,92.4286,68.5324,4100059,1000.99
1,16384,10,inf,2.5,1,133,0,2.1092,0.7527,1.4808,5.9864,82021,10.0123
1,16384,100,inf,2.5,1,134,0,1.9228,0.7337,8.7114,23.8493,818506,99.9153
1,16384,1000,inf,2.5,1,135,0,1.8746,0.7958,178.943,165.009,8190604,999.83
1,32768,10,inf,2.5,1,136,0,4.5681,1.4998,1.786,13.6491,163981,10.0086
1,32768,100,inf,2.5,1,137,0,3.7779,1.459,16.4494,47.6713,1637973,99.9739
1,32768,1000,inf,2.5,1,138,0,4.0862,1.4918,279.185,407.783,16386708,1000.17
1,65536,10,inf,2.5,1,139,0,8.3631,2.9195,3.6739,28.3381,328075,10.0121
1,65536,100,inf,2.5,1,140,0,7.4765,3.1684,53.6599,105.391,3276504,99.991
1,65536,1000,inf,2.5,1,141,0,7.4208,2.8378,469.617,937.859,32765303,999.918
1,131072,10,inf,2.5,1,142,0,15.2719,6.1125,8.8589,62.2702,654689,9.98976
