dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimePre,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
1,32768,10,3.5,2.5,1,48,2,4.0329,0.9757,10.5618,2.2947,84.3924,102.597,164358,10.0316
1,32768,10,3,2.5,1,49,2,4.013,0.9869,7.0237,2.0675,92.1141,106.555,163509,9.9798
1,32768,10,2.5,2.5,1,50,2,3.7269,1.0096,9.2916,2.1467,90.0703,106.586,163488,9.97852
1,32768,10,2,2.5,1,51,2,4.0376,0.9522,2.9263,2.0294,50.7942,61.0913,164577,10.045
1,32768,10,inf,2.5,1,52,3,3.6828,1.011,2.2637,2.3272,4.6989,14.2998,163114,9.95569
2,32768,10,inf,2.5,1,53,3,3.8043,1.7679,3.2881,2.7284,14.0888,26.0341,163331,9.96893
3,32768,10,inf,2.5,1,54,3,4.071,2.2298,32.0413,3.1082,61.1965,103.009,163983,10.0087
4,32768,10,inf,2.5,1,55,3,3.7491,2.7195,88.6767,6.6547,386.965,489.149,163720,9.99268
5,32768,10,inf,2.5,1,56,3,3.7602,3.0683,453.942,23.865,1280.4,1765.42,163763,9.9953
1,32768,10,inf,2.5,1,57,4,3.763,0.9846,1.8263,2.3978,4.3358,13.6149,164938,10.067
2,32768,10,inf,2.5,1,58,4,3.8326,1.7238,2.3466,2.7668,14.1148,25.3138,164602,10.0465
3,32768,10,inf,2.5,1,59,4,3.9091,2.1765,39.828,3.0776,61.0244,110.344,164214,10.0228
4,32768,10,inf,2.5,1,60,4,3.6536,2.6977,107.17,6.1886,415.84,535.934,163834,9.99963
5,32768,10,inf,2.5,1,61,4,3.679,3.4258,456.983,6.8466,1280.92,1752.24,163592,9.98486
1,32768,10,inf,2.5,2,62,4,3.7408,1.2796,2.0169,1.9937,2.5187,12.0065,163728,9.99316
2,32768,10,inf,2.5,2,63,4,3.6211,1.9056,2.7413,2.6866,7.3164,18.7385,163799,9.9975
3,32768,10,inf,2.5,2,64,4,3.7297,2.3467,27.8141,3.0929,33.8482,71.3067,164129,10.0176
4,32768,10,inf,2.5,2,65,4,3.9587,2.7919,90.6055,6.3592,226.606,330.832,163843,10.0002
5,32768,10,inf,2.5,2,66,4,3.5678,3.4435,478.818,7.2079,839.426,1332.98,164006,10.0101
1,32768,10,inf,2.5,3,67,4,3.757,1.7368,2.1862,2.0378,2.0197,12.2054,163853,10.0008
2,32768,10,inf,2.5,3,68,4,3.6707,2.0401,2.86,2.7237,5.7479,17.5101,164822,10.0599
3,32768,10,inf,2.5,3,69,4,3.6717,2.5104,26.7775,3.0924,25.2202,61.7489,163276,9.96558
4,32768,10,inf,2.5,3,70,4,3.6615,2.7784,90.3055,6.1388,187.452,290.876,164177,10.0206
5,32768,10,inf,2.5,3,71,4,3.6892,3.5441,442.346,7.2978,644.358,1101.79,164051,10.0129
1,32768,10,inf,2.5,4,72,4,4.2991,1.331,1.5634,1.9089,1.4498,11.0187,164126,10.0175
2,32768,10,inf,2.5,4,73,4,3.7477,1.8829,6.0786,2.1932,4.0376,18.406,163543,9.98187
3,32768,10,inf,2.5,4,74,4,3.7412,2.836,28.0004,3.0001,18.8513,56.9178,164065,10.0137
4,32768,10,inf,2.5,4,75,4,4.0515,2.8337,80.5431,6.2775,128.76,223.011,163598,9.98523
5,32768,10,inf,2.5,4,76,4,3.5979,3.2232,463.55,6.8512,489.502,967.278,164029,10.0115
1,32768,10,inf,2.5,5,77,4,3.7885,1.4539,2.7622,2.4751,1.5439,12.505,164373,10.0325
2,32768,10,inf,2.5,5,78,4,3.758,1.9539,2.6885,2.4696,4.8528,16.2175,163308,9.96753
3,32768,10,inf,2.5,5,79,4,3.782,2.4306,42.5397,2.9769,16.3,68.5116,164283,10.027
4,32768,10,inf,2.5,5,80,4,3.7755,2.8638,94.7479,6.0197,112.43,220.391,163616,9.98633
5,32768,10,inf,2.5,5,81,4,3.7659,3.3137,435.725,6.8337,443.107,893.332,163720,9.99268
1,32768,10,inf,2.5,6,82,4,3.86,1.3755,3.0025,2.2409,1.3245,12.2876,164042,10.0123
2,32768,10,inf,2.5,6,83,4,3.9898,1.9372,2.5707,2.3444,3.4175,14.7674,163834,9.99963
3,32768,10,inf,2.5,6,84,4,3.7672,2.6375,33.8175,3.0942,14.3133,58.113,164596,10.0461
4,32768,10,inf,2.5,6,85,4,3.7496,2.8504,83.2143,6.1217,96.6276,193.117,163851,10.0007
5,32768,10,inf,2.5,6,86,4,4.0023,3.3248,448.262,6.8906,390.337,853.39,164224,10.0234
1,32768,10,2,2.5,1,87,5,3.8233,1.3663,4.3937,2.1612,49.5699,61.9238,164228,10.0237
2,32768,10,2,2.5,1,88,5,3.5668,2.1537,7.0284,2.3969,159.719,175.329,163964,10.0076
3,32768,10,2,2.5,1,89,5,3.5066,2.3003,26.4103,3.0015,720.538,756.249,163255,9.96429
4,32768,10,2,2.5,1,90,5,3.572,3.0883,47.5872,6.5729,3957.5,4018.85,163930,10.0055
5,32768,10,2,2.5,1,91,5,3.5951,3.4592,49.1238,6.862,19076.6,19140.2,163707,9.99188
1,32768,10,2,2.5,2,92,5,3.7296,1.3881,2.341,2.3412,28.1952,38.5002,164063,10.0136
2,32768,10,2,2.5,2,93,5,3.7176,1.9604,7.8257,2.4668,90.5174,106.976,164564,10.0442
3,32768,10,2,2.5,2,94,5,3.9778,2.3467,12.6187,3.0946,446.138,468.692,164185,10.0211
4,32768,10,2,2.5,2,95,5,3.7538,2.8689,46.6157,7.1327,2531.13,2592.02,163799,9.9975
5,32768,10,2,2.5,2,96,5,3.733,3.6197,84.0009,6.9347,12423.1,12521.9,163899,10.0036
1,32768,10,2,2.5,3,97,5,4.05,1.3361,35.9431,2.4254,24.9521,69.1845,163558,9.98279
2,32768,10,2,2.5,3,98,5,3.6962,1.8949,7.2338,2.6732,69.6385,85.6158,164396,10.0339
3,32768,10,2,2.5,3,99,5,3.6949,2.3327,24.9002,3.1244,325.692,360.247,163693,9.99103
4,32768,10,2,2.5,3,100,5,3.9856,2.8007,17.4887,6.3461,2029.4,2060.58,162960,9.94629
5,32768,10,2,2.5,3,101,5,3.6966,3.9081,124.104,6.9964,9628.1,9767.54,162757,9.9339
1,32768,10,2,2.5,4,102,5,3.8289,1.3756,3.1044,2.3115,15.9509,27.0994,164913,10.0655
2,32768,10,2,2.5,4,103,5,3.8359,2.2074,3.975,2.5586,49.4336,62.5344,165006,10.0712
3,32768,10,2,2.5,4,104,5,4.1114,2.4444,14.6871,3.4695,252.675,277.903,163998,10.0096
4,32768,10,2,2.5,4,105,5,3.7789,3.1555,53.0774,6.6759,1453.47,1520.74,163660,9.98901
5,32768,10,2,2.5,4,106,5,4.065,3.3488,56.6312,7.405,7508.37,7580.41,163326,9.96863
1,32768,10,2,2.5,5,107,5,3.8539,1.696,5.894,2.1584,14.3118,28.4336,163754,9.99475
2,32768,10,2,2.5,5,108,5,3.7555,1.9428,10.2683,2.4506,42.426,61.3524,164344,10.0308
3,32768,10,2,2.5,5,109,5,3.756,2.4148,9.0198,3.3211,215.755,234.783,163561,9.98297
4,32768,10,2,2.5,5,110,5,3.7676,2.8541,15.1981,6.5781,1256.31,1285.28,164062,10.0135
