[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]gluten,0,HyperGen,4641588,100,1,0.0,930.497,233709553,100.702
[CSV]gluten,0,HyperGen,10000000,100,1,0.0,1970.38,501473280,100.295
[CSV]gluten,0,HyperGen,21544346,100,1,0.0,4413.2,1079929163,100.252
[CSV]gluten,0,HyperGen,46415888,100,1,0.0,9415.54,2322110532,100.057
[CSV]gluten,0,HyperGen,100000000,100,1,0.0,19999.9,4996609389,99.9322
[CSV]gluten,0,HyperGen,21544,1000,1,0.0,50.9252,10921812,1013.91
[CSV]gluten,0,HyperGen,46415,1000,1,0.0,69.5566,23887459,1029.3
[CSV]gluten,0,HyperGen,100000,1000,1,0.0,79.473,53099881,1062
[CSV]gluten,0,HyperGen,215443,1000,1,0.0,144.676,112680355,1046.03
[CSV]gluten,0,HyperGen,464158,1000,1,0.0,293.117,239470907,1031.85
[CSV]gluten,0,HyperGen,1000000,1000,1,0.0,593.265,517176208,1034.35
[CSV]gluten,0,HyperGen,2154434,1000,1,0.0,1203.77,1101734903,1022.76
[CSV]gluten,0,HyperGen,4641588,1000,1,0.0,2554.47,2350796076,1012.93
[CSV]gluten,0,HyperGen,10000000,1000,1,0.0,5407.73,5042963591,1008.59
[CSV]gluten,0,HyperGen,21544346,1000,1,0.0,11595.8,10852780111,1007.48
[CSV]gluten,0,HyperGen,46415888,1000,1,0.0,24742.4,23338103129,1005.61
[CSV]gluten,0,HyperGen,100000000,1000,1,0.0,53479.6,50162221600,1003.24
[CSV]gluten,1,HyperGen,10000,10,0.6,0.0,31.5264,51208,10.2416
[CSV]gluten,1,HyperGen,10000,10,0.6,0.0,20.6988,44462,8.8924
[CSV]gluten,1,HyperGen,21544,10,0.6,0.0,8.54193,108673,10.0885
[CSV]gluten,1,HyperGen,46415,10,0.6,0.0,13.9075,224245,9.66261
[CSV]gluten,1,HyperGen,100000,10,0.6,0.0,24.0052,534337,10.6867
[CSV]gluten,1,HyperGen,215443,10,0.6,0.0,43.2858,1137811,10.5625
[CSV]gluten,1,HyperGen,464158,10,0.6,0.0,96.847,2349345,10.123
[CSV]gluten,1,HyperGen,1000000,10,0.6,0.0,173.944,5020016,10.04
[CSV]gluten,1,HyperGen,2154434,10,0.6,0.0,355.285,10574593,9.81659
[CSV]gluten,1,HyperGen,4641588,10,0.6,0.0,744.203,24655409,10.6237
[CSV]gluten,1,HyperGen,10000000,10,0.6,0.0,1494.39,49678621,9.93572
[CSV]gluten,1,HyperGen,21544346,10,0.6,0.0,3111.81,111396128,10.3411
[CSV]gluten,1,HyperGen,46415888,10,0.6,0.0,6532.43,227612311,9.80752
[CSV]gluten,1,HyperGen,100000000,10,0.6,0.0,13889.5,472234890,9.4447
[CSV]gluten,1,HyperGen,10000,100,0.6,0.0,16.6776,501635,100.327
[CSV]gluten,1,HyperGen,10000,100,0.6,0.0,11.9247,503098,100.62
[CSV]gluten,1,HyperGen,21544,100,0.6,0.0,17.7442,1094502,101.606
[CSV]gluten,1,HyperGen,46415,100,0.6,0.0,21.1577,2400667,103.444
[CSV]gluten,1,HyperGen,100000,100,0.6,0.0,36.7802,5201112,104.022
[CSV]gluten,1,HyperGen,215443,100,0.6,0.0,73.1558,10436983,96.8886
[CSV]gluten,1,HyperGen,464158,100,0.6,0.0,123.256,23978621,103.321
[CSV]gluten,1,HyperGen,1000000,100,0.6,0.0,259.308,52263622,104.527
[CSV]gluten,1,HyperGen,2154434,100,0.6,0.0,499.241,112203390,104.16
[CSV]gluten,1,HyperGen,4641588,100,0.6,0.0,1070.13,241649351,104.124
[CSV]gluten,1,HyperGen,10000000,100,0.6,0.0,2224.51,515290731,103.058
[CSV]gluten,1,HyperGen,21544346,100,0.6,0.0,4828.14,1090111698,101.197
[CSV]gluten,1,HyperGen,46415888,100,0.6,0.0,10663,2342432370,100.932
[CSV]gluten,1,HyperGen,100000000,100,0.6,0.0,21035.3,5041821652,100.836
[CSV]gluten,1,HyperGen,21544,1000,0.6,0.0,70.1517,9722209,902.544
[CSV]gluten,1,HyperGen,46415,1000,0.6,0.0,71.8001,22463533,967.943
[CSV]gluten,1,HyperGen,100000,1000,0.6,0.0,94.1303,51183553,1023.67
[CSV]gluten,1,HyperGen,215443,1000,0.6,0.0,157.446,110336886,1024.28
[CSV]gluten,1,HyperGen,464158,1000,0.6,0.0,316.749,243561314,1049.48
[CSV]gluten,1,HyperGen,1000000,1000,0.6,0.0,595.22,505355158,1010.71
[CSV]gluten,1,HyperGen,2154434,1000,0.6,0.0,1257.62,1103912067,1024.78
[CSV]gluten,1,HyperGen,4641588,1000,0.6,0.0,2805.15,2436430549,1049.83
[CSV]gluten,1,HyperGen,10000000,1000,0.6,0.0,5868.5,5146595786,1029.32
[CSV]gluten,1,HyperGen,21544346,1000,0.6,0.0,12066.2,11190639035,1038.85
[CSV]gluten,1,HyperGen,46415888,1000,0.6,0.0,25863.8,23948674234,1031.92
[CSV]gluten,1,HyperGen,100000000,1000,0.6,0.0,56510.8,51609922857,1032.2
[CSV]gluten,1,HyperGen,10000,10,1,0.0,23.5118,49268,9.8536
[CSV]gluten,1,HyperGen,10000,10,1,0.0,18.8354,54708,10.9416
