algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,123,4641588,10,1,3,0,27.9671,712.197,371.71,192.785,132.541,23283549,10.0326
hypergirgs,gluten,0,123,10000000,10,1,3,0,29.5022,1411,736.3,388.763,256.38,49981705,9.99634
hypergirgs,gluten,0,123,21544346,10,1,3,0,31.0374,2945.19,1562.26,795.354,524.273,107654645,9.99377
hypergirgs,gluten,0,123,46415888,10,1,3,0,32.5725,6292.49,3349.83,1848.79,989.839,231557117,9.97749
hypergirgs,gluten,0,123,10000,100,1,3,0,11.0622,5.76996,0.814216,0.841465,4.10595,492909,98.5818
hypergirgs,gluten,0,123,21544,100,1,3,0,12.6063,10.4518,2.09279,1.78593,6.56469,1057800,98.199
hypergirgs,gluten,0,123,46415,100,1,3,0,14.1455,27.4123,4.05729,12.8179,10.5288,2299137,99.0687
hypergirgs,gluten,0,123,100000,100,1,3,0,15.683,37.3852,8.34441,9.48259,19.5473,5062237,101.245
hypergirgs,gluten,0,123,215443,100,1,3,0,17.2191,90.8768,24.6287,33.2008,33.0377,10845824,100.684
hypergirgs,gluten,0,123,464158,100,1,3,0,18.7545,158.332,37.8464,42.2755,74.7611,23349280,100.609
hypergirgs,gluten,0,123,1000000,100,1,3,0,20.2899,310.594,87.8475,77.0868,143.254,49933946,99.8679
hypergirgs,gluten,0,123,2154434,100,1,3,0,21.825,532.959,153.113,123.686,247.442,107503637,99.7976
hypergirgs,gluten,0,123,4641588,100,1,3,0,23.36,1060.86,342.03,187.415,517.53,232372090,100.126
hypergirgs,gluten,0,123,10000000,100,1,3,0,24.8951,2168.64,727.265,363.65,1048.5,500283169,100.057
hypergirgs,gluten,0,123,21544346,100,1,3,0,26.4301,4615.27,1565.07,703.114,2285.76,1077697857,100.045
hypergirgs,gluten,0,123,46415888,100,1,3,0,27.9655,9898.95,3359.55,1489.95,4870.87,2317943284,99.8771
hypergirgs,gluten,0,123,21544,1000,1,3,0,7.93843,42.4057,1.72633,4.73662,35.9352,10633494,987.142
hypergirgs,gluten,0,123,46415,1000,1,3,0,9.50959,79.0732,4.02625,20.9505,54.0871,23153678,997.681
hypergirgs,gluten,0,123,100000,1000,1,3,0,11.0624,107.698,8.27894,8.40562,91.0037,49818573,996.371
