[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]gluten,0,Embedder,464158,100,0.6,0.5,24.0527,9934.09,13427951,57.8594
[CSV]gluten,0,Embedder,1000000,100,0.6,0.5,25.5877,22981.6,29920017,59.84
[CSV]gluten,0,Embedder,2154434,100,0.6,0.5,27.1228,56435.7,69409413,64.434
[CSV]gluten,0,Embedder,4641588,100,0.6,0.5,28.6578,129496,151282940,65.1859
[CSV]gluten,0,Embedder,21544,1000,0.6,0.5,13.3072,2712.13,3676741,341.324
[CSV]gluten,0,Embedder,46415,1000,0.6,0.5,14.8423,7002.55,9002131,387.897
[CSV]gluten,0,Embedder,100000,1000,0.6,0.5,16.3774,18137.3,21758340,435.167
[CSV]gluten,0,Embedder,215443,1000,0.6,0.5,17.9124,45197.4,52245295,485.003
[CSV]gluten,0,Embedder,464158,1000,0.6,0.5,19.4475,60844.6,106703892,459.774
[CSV]gluten,0,Embedder,1000000,1000,0.6,0.5,20.9825,143734,245954448,491.909
[CSV]gluten,0,Embedder,10000,10,1,0.5,16.5881,71.3255,45419,9.0838
[CSV]gluten,0,Embedder,10000,10,1,0.5,16.5881,70.8249,44899,8.9798
[CSV]gluten,0,Embedder,21544,10,1,0.5,18.1231,138.368,86720,8.0505
[CSV]gluten,0,Embedder,46415,10,1,0.5,19.6582,291.125,191473,8.25048
[CSV]gluten,0,Embedder,100000,10,1,0.5,21.1933,621.407,421427,8.42854
[CSV]gluten,0,Embedder,215443,10,1,0.5,22.7283,1318.56,911414,8.46084
[CSV]gluten,0,Embedder,464158,10,1,0.5,24.2634,2752.4,1984345,8.5503
[CSV]gluten,0,Embedder,1000000,10,1,0.5,25.7984,6008.35,4307350,8.6147
[CSV]gluten,0,Embedder,2154434,10,1,0.5,27.3335,13797.2,9440062,8.76338
[CSV]gluten,0,Embedder,4641588,10,1,0.5,28.8686,30954,20471191,8.82077
[CSV]gluten,0,Embedder,10000000,10,1,0.5,30.4036,69990.4,44487857,8.89757
[CSV]gluten,0,Embedder,21544346,10,1,0.5,31.9387,145935,87576675,8.1299
[CSV]gluten,0,Embedder,10000,100,1,0.5,11.9829,381.684,422941,84.5882
[CSV]gluten,0,Embedder,10000,100,1,0.5,11.9829,368.857,414154,82.8308
[CSV]gluten,0,Embedder,21544,100,1,0.5,13.518,851.638,889610,82.5854
[CSV]gluten,0,Embedder,46415,100,1,0.5,15.053,2025.4,1989803,85.7397
[CSV]gluten,0,Embedder,100000,100,1,0.5,16.5881,4729.42,4398043,87.9609
[CSV]gluten,0,Embedder,215443,100,1,0.5,18.1232,5564.85,8151143,75.6687
[CSV]gluten,0,Embedder,464158,100,1,0.5,19.6582,12525.6,17978782,77.4684
[CSV]gluten,0,Embedder,1000000,100,1,0.5,21.1933,28739.2,39611603,79.2232
[CSV]gluten,0,Embedder,2154434,100,1,0.5,22.7283,64870.2,86257920,80.0748
[CSV]gluten,0,Embedder,4641588,100,1,0.5,24.2634,143098,189460061,81.6359
[CSV]gluten,0,Embedder,21544,1000,1,0.5,8.91278,6348.91,8206502,761.836
[CSV]gluten,0,Embedder,46415,1000,1,0.5,10.4478,15508.2,18728720,807.012
[CSV]gluten,0,Embedder,100000,1000,1,0.5,11.9829,36679.8,41422249,828.445
[CSV]gluten,0,Embedder,215443,1000,1,0.5,13.518,85689,90678634,841.788
[CSV]gluten,0,Embedder,464158,1000,1,0.5,15.053,198136,196848014,848.194
[CSV]gluten,0,Embedder,10000,10,0.6,0.9,24.5068,658.397,12825,2.565
[CSV]gluten,0,Embedder,10000,10,0.6,0.9,24.5068,659.83,13147,2.6294
[CSV]gluten,0,Embedder,21544,10,0.6,0.9,26.0419,1273.09,26889,2.49619
[CSV]gluten,0,Embedder,46415,10,0.6,0.9,27.5769,2479.68,54569,2.35135
[CSV]gluten,0,Embedder,100000,10,0.6,0.9,29.112,4946.7,124860,2.4972
[CSV]gluten,0,Embedder,215443,10,0.6,0.9,30.6471,19529.8,288592,2.67906
[CSV]gluten,0,Embedder,464158,10,0.6,0.9,32.1821,39431.4,587064,2.52959
[CSV]gluten,0,Embedder,1000000,10,0.6,0.9,33.7172,79544.8,1329417,2.65883
[CSV]gluten,0,Embedder,2154434,10,0.6,0.9,35.2522,159616,2840995,2.63735
[CSV]gluten,0,Embedder,10000,100,0.6,0.9,19.9017,144.897,64165,12.833
[CSV]gluten,0,Embedder,10000,100,0.6,0.9,19.9017,141.744,58354,11.6708
[CSV]gluten,0,Embedder,21544,100,0.6,0.9,21.4367,310.866,134870,12.5204
[CSV]gluten,0,Embedder,46415,100,0.6,0.9,22.9717,640.325,329682,14.2058
[CSV]gluten,0,Embedder,100000,100,0.6,0.9,24.5068,1339.61,784552,15.691
[CSV]gluten,0,Embedder,215443,100,0.6,0.9,26.0419,2891.41,1866032,17.3227
[CSV]gluten,0,Embedder,464158,100,0.6,0.9,27.5769,5844.06,3679117,15.8529
[CSV]gluten,0,Embedder,1000000,100,0.6,0.9,29.112,13067.3,8312383,16.6248
[CSV]gluten,0,Embedder,21544,1000,0.6,0.9,16.8315,520.492,800231,74.2881
[CSV]gluten,0,Embedder,46415,1000,0.6,0.9,18.3666,1319.91,2044432,88.0936
[CSV]gluten,0,Embedder,100000,1000,0.6,0.9,19.9017,3156.2,4887693,97.7539
[CSV]gluten,0,Embedder,215443,1000,0.6,0.9,21.4367,7261.85,11068393,102.75
[CSV]gluten,0,Embedder,464158,1000,0.6,0.9,22.9718,17125.7,25451203,109.666
[CSV]gluten,0,Embedder,1000000,1000,0.6,0.9,24.5068,41965.6,60963962,121.928
[CSV]gluten,0,Embedder,10000,10,1,0.9,20.1124,111.237,16005,3.201
[CSV]gluten,0,Embedder,10000,10,1,0.9,20.1124,111.324,16440,3.288
[CSV]gluten,0,Embedder,21544,10,1,0.9,21.6474,230.016,35968,3.33903
[CSV]gluten,0,Embedder,46415,10,1,0.9,23.1825,463.158,77883,3.35594
[CSV]gluten,0,Embedder,100000,10,1,0.9,24.7176,914.407,168989,3.37978
[CSV]gluten,0,Embedder,215443,10,1,0.9,26.2526,1835.09,366201,3.39952
[CSV]gluten,0,Embedder,464158,10,1,0.9,27.7877,6067.77,760704,3.27778
[CSV]gluten,0,Embedder,1000000,10,1,0.9,29.3227,12729.9,1634937,3.26987
[CSV]gluten,0,Embedder,2154434,10,1,0.9,30.8578,26553.8,3557925,3.30289
[CSV]gluten,0,Embedder,4641588,10,1,0.9,32.3928,55256,7674697,3.30693
[CSV]gluten,0,Embedder,10000000,10,1,0.9,33.9279,114581,16607825,3.32157
[CSV]gluten,0,Embedder,10000,100,1,0.9,15.5072,74.6152,80181,16.0362
[CSV]gluten,0,Embedder,10000,100,1,0.9,15.5072,71.6571,75441,15.0882
[CSV]gluten,0,Embedder,21544,100,1,0.9,17.0422,162.048,172408,16.0052
[CSV]gluten,0,Embedder,46415,100,1,0.9,18.5773,366.019,394270,16.9889
[CSV]gluten,0,Embedder,100000,100,1,0.9,20.1124,783.883,851704,17.0341
[CSV]gluten,0,Embedder,215443,100,1,0.9,21.6474,1770.54,1916422,17.7905
[CSV]gluten,0,Embedder,464158,100,1,0.9,23.1825,3816.79,4187168,18.042
[CSV]gluten,0,Embedder,1000000,100,1,0.9,24.7176,8378.87,9309266,18.6185
[CSV]gluten,0,Embedder,2154434,100,1,0.9,26.2526,19196.7,20699570,19.2158
[CSV]gluten,0,Embedder,4641588,100,1,0.9,27.7877,32148.8,35147201,15.1445
[CSV]gluten,0,Embedder,21544,1000,1,0.9,12.4371,1710.62,1978132,183.636
[CSV]gluten,0,Embedder,46415,1000,1,0.9,13.9721,2063.03,3253423,140.188
[CSV]gluten,0,Embedder,100000,1000,1,0.9,15.5072,4805.85,7309980,146.2
[CSV]gluten,0,Embedder,215443,1000,1,0.9,17.0423,11089.5,16223086,150.602
[CSV]gluten,0,Embedder,464158,1000,1,0.9,18.5773,25544.7,36942059,159.179
[CSV]gluten,0,Embedder,1000000,1000,1,0.9,20.1124,57377,81353107,162.706
[CSV]gluten,0,Embedder,2154434,1000,1,0.9,21.6474,132185,181560815,168.546
[CSV]gluten,1,Embedder,10000,10,0.6,0,19.2056,53.3069,56419,11.2838
[CSV]gluten,1,Embedder,10000,10,0.6,0,19.2056,51.1075,48713,9.7426
[CSV]gluten,1,Embedder,21544,10,0.6,0,20.8558,72.7219,97454,9.04697
[CSV]gluten,1,Embedder,46415,10,0.6,0,22.4896,192.816,247828,10.6788
[CSV]gluten,1,Embedder,100000,10,0.6,0,24.112,438.04,508444,10.1689
[CSV]gluten,1,Embedder,215443,10,0.6,0,25.7171,944.104,1018123,9.45144
[CSV]gluten,1,Embedder,464158,10,0.6,0,27.3193,2265.06,2238573,9.64574
[CSV]gluten,1,Embedder,1000000,10,0.6,0,28.9054,5470.64,4789845,9.57969
[CSV]gluten,1,Embedder,2154434,10,0.6,0,30.488,14200.4,11300377,10.4903
