host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
gluten,0,NkOpt,215443,100,1,3,17.2191,0.0,77.9902,10688900,99.2272
gluten,0,NkOpt,464158,100,1,3,18.7545,0.0,195.01,23413981,100.888
gluten,0,NkOpt,1000000,100,1,3,20.2899,0.0,404.678,49917066,99.8341
gluten,0,NkOpt,2154434,100,1,3,21.825,0.0,805.177,107694415,99.9747
gluten,0,NkOpt,4641588,100,1,3,23.36,0.0,1853.51,232960028,100.379
gluten,0,NkOpt,10000000,100,1,3,24.8951,0.0,3935.44,500093697,100.019
gluten,0,NkOpt,21544346,100,1,3,26.4301,0.0,7982.42,1075888414,99.8766
gluten,0,NkOpt,46415888,100,1,3,27.9655,0.0,17203.4,2320567696,99.9902
gluten,0,NkOpt,100000000,100,1,3,29.5006,0.0,38313.3,4999811290,99.9962
gluten,0,NkOpt,21544,1000,1,3,7.93843,0.0,58.3992,10748506,997.819
gluten,0,NkOpt,46415,1000,1,3,9.50959,0.0,97.2848,23465395,1011.11
gluten,0,NkOpt,100000,1000,1,3,11.0624,0.0,167.08,50160645,1003.21
gluten,0,NkOpt,215443,1000,1,3,12.6062,0.0,359.423,108477804,1007.02
gluten,0,NkOpt,464158,1000,1,3,14.1456,0.0,821.898,231759801,998.625
gluten,0,NkOpt,1000000,1000,1,3,15.6828,0.0,1722.82,499248339,998.497
gluten,0,NkOpt,2154434,1000,1,3,17.2189,0.0,3695.37,1078745265,1001.42
gluten,0,NkOpt,4641588,1000,1,3,18.7545,0.0,7996.48,2321030242,1000.1
gluten,0,NkOpt,10000000,1000,1,3,20.2899,0.0,17072,5006126971,1001.23
gluten,0,NkOpt,21544346,1000,1,3,21.8251,0.0,35985.1,10781300904,1000.85
gluten,0,NkOpt,46415888,1000,1,3,23.3602,0.0,77172,23186126020,999.06
gluten,0,NkOpt,100000000,1000,1,3,24.8952,0.0,166064,50035243148,1000.7
gluten,1,NkOpt,10000,10,0.6,2.2,19.2056,0.0,2.6317,55690,11.138
gluten,1,NkOpt,10000,10,0.6,2.2,19.2056,0.0,3.39035,54922,10.9844
gluten,1,NkOpt,21544,10,0.6,2.2,20.8558,0.0,6.18432,112734,10.4655
gluten,1,NkOpt,46415,10,0.6,2.2,22.4896,0.0,13.9251,263707,11.363
gluten,1,NkOpt,100000,10,0.6,2.2,24.112,0.0,23.6186,444946,8.89892
gluten,1,NkOpt,215443,10,0.6,2.2,25.7171,0.0,47.051,1005842,9.33743
gluten,1,NkOpt,464158,10,0.6,2.2,27.3193,0.0,116.96,2390283,10.2994
gluten,1,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,216.093,4857431,9.71486
gluten,1,NkOpt,2154434,10,0.6,2.2,30.488,0.0,550.723,10432326,9.68452
gluten,1,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,1221.9,22039108,9.49637
gluten,1,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,2627.75,50024969,10.005
gluten,1,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,5345.13,105964409,9.83686
gluten,1,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,11357.7,241311839,10.3978
gluten,1,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,25026.5,485909768,9.7182
gluten,1,NkOpt,10000,100,0.6,2.2,14.0942,0.0,6.06723,516430,103.286
gluten,1,NkOpt,10000,100,0.6,2.2,14.0942,0.0,6.23655,484701,96.9402
gluten,1,NkOpt,21544,100,0.6,2.2,15.8307,0.0,12.0041,1049693,97.4464
gluten,1,NkOpt,46415,100,0.6,2.2,17.531,0.0,22.7213,2179885,93.9302
gluten,1,NkOpt,100000,100,0.6,2.2,19.2046,0.0,45.562,4751267,95.0253
gluten,1,NkOpt,215443,100,0.6,2.2,20.8564,0.0,84.0625,9914060,92.0342
gluten,1,NkOpt,464158,100,0.6,2.2,22.4907,0.0,206.545,22688615,97.7625
gluten,1,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,418.872,50679043,101.358
gluten,1,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,929.305,105033113,97.5041
gluten,1,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,2020.3,233914567,100.791
gluten,1,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,4465.32,520720058,104.144
gluten,1,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,8960.15,1071273726,99.4482
gluten,1,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,19457.8,2335619871,100.639
gluten,1,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,42811.4,4949801397,98.996
gluten,1,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,56.3141,9760849,906.132
gluten,1,NkOpt,46415,1000,0.6,2.2,12.309,0.0,97.1814,22424249,966.25
gluten,1,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,191.511,50033177,1000.66
gluten,1,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,427.26,104950333,974.275
gluten,1,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,899.995,224499389,967.34
gluten,1,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,1860.35,487547222,975.094
gluten,1,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,3902.44,1051927969,976.524
gluten,1,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,8728.34,2289337950,986.446
gluten,1,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,18795.9,4953146370,990.629
gluten,1,NkOpt,21544346,1000,0.6,2.2,25.719,0.0,40161.1,10723886403,995.517
gluten,1,NkOpt,46415888,1000,0.6,2.2,27.3174,0.0,86716.3,22916585811,987.446
gluten,1,NkOpt,100000000,1000,0.6,2.2,28.9073,0.0,185372,49532786390,990.656
gluten,1,NkOpt,10000,10,1,3,15.683,0.0,10.2499,48504,9.7008
gluten,1,NkOpt,10000,10,1,3,15.683,0.0,5.02856,47697,9.5394
gluten,1,NkOpt,21544,10,1,3,17.2179,0.0,7.35407,110739,10.2803
gluten,1,NkOpt,46415,10,1,3,18.7527,0.0,12.9205,228088,9.8282
gluten,1,NkOpt,100000,10,1,3,20.2913,0.0,22.4854,492519,9.85038
gluten,1,NkOpt,215443,10,1,3,21.8265,0.0,42.7197,1089980,10.1185
gluten,1,NkOpt,464158,10,1,3,23.3616,0.0,102.253,2309708,9.95225
gluten,1,NkOpt,1000000,10,1,3,24.8968,0.0,198.872,4976536,9.95307
