host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
gluten,nkgen,0,0.0,3.0,100000000,100,0,4996064848,19250,6336,90041
gluten,nkgen,0,0.0,3.0,4641,1000,0,2221324,0,0,45
gluten,nkgen,0,0.0,3.0,10000,1000,0,4913722,2,0,80
gluten,nkgen,0,0.0,3.0,21544,1000,0,10496253,4,0,142
gluten,nkgen,0,0.0,3.0,46415,1000,0,23094256,7,1,309
gluten,nkgen,0,0.0,3.0,100000,1000,0,49916302,16,3,631
gluten,nkgen,0,0.0,3.0,215443,1000,0,108020374,35,13,1384
gluten,nkgen,0,0.0,3.0,464158,1000,0,233498495,78,26,3034
gluten,nkgen,0,0.0,3.0,1000000,1000,0,498539999,178,69,6438
gluten,nkgen,0,0.0,3.0,2154434,1000,0,1080334142,420,113,13735
gluten,nkgen,0,0.0,3.0,4641588,1000,0,2321439026,945,285,29667
gluten,nkgen,0,0.0,3.0,10000000,1000,0,5001118998,1975,587,64528
gluten,nkgen,0,0.0,3.0,21544346,1000,0,10775315543,4064,1227,137728
gluten,nkgen,0,0.0,3.0,46415888,1000,0,23173494341,8747,2720,259118
gluten,nkgen,0,0.0,3.0,100000000,1000,0,50011076769,19275,5760,535857
gluten,nkgen,0,0.5,2.2,2154,10,0,5158,4,2,55
gluten,nkgen,0,0.5,2.2,4641,10,0,16442,1,5,108
gluten,nkgen,0,0.5,2.2,10000,10,0,28325,2,7,290
gluten,nkgen,0,0.5,2.2,21544,10,0,82304,3,14,892
gluten,nkgen,0,0.5,2.2,46415,10,0,157293,15,61,2571
gluten,nkgen,0,0.5,2.2,100000,10,0,337108,32,100,8099
gluten,nkgen,0,0.5,2.2,215443,10,0,890411,64,191,26854
gluten,nkgen,0,0.5,2.2,464158,10,0,1879970,84,381,78142
gluten,nkgen,0,0.5,2.2,1000000,10,0,3902266,195,966,251488
gluten,nkgen,0,0.5,2.2,2154434,10,0,8613929,421,1990,790841
gluten,nkgen,0,0.5,2.2,4641588,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,10000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,21544346,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,46415888,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,100000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,2154,100,0,42747,17,2,66
gluten,nkgen,0,0.5,2.2,4641,100,0,105815,1,4,108
gluten,nkgen,0,0.5,2.2,10000,100,0,245879,1,8,299
gluten,nkgen,0,0.5,2.2,21544,100,0,578173,4,14,897
gluten,nkgen,0,0.5,2.2,46415,100,0,1375712,8,35,2854
gluten,nkgen,0,0.5,2.2,100000,100,0,3212933,17,69,8476
gluten,nkgen,0,0.5,2.2,215443,100,0,6962304,66,216,28655
gluten,nkgen,0,0.5,2.2,464158,100,0,17125224,120,361,83291
gluten,nkgen,0,0.5,2.2,1000000,100,0,35550659,188,927,257957
gluten,nkgen,0,0.5,2.2,2154434,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,4641588,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,10000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,21544346,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,46415888,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,100000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,4641,1000,0,684208,21,4,201
gluten,nkgen,0,0.5,2.2,10000,1000,0,1758063,2,7,530
gluten,nkgen,0,0.5,2.2,21544,1000,0,4234850,4,14,1418
gluten,nkgen,0,0.5,2.2,46415,1000,0,10463998,8,35,4290
gluten,nkgen,0,0.5,2.2,100000,1000,0,24740854,17,69,11422
gluten,nkgen,0,0.5,2.2,215443,1000,0,60176266,55,224,33644
gluten,nkgen,0,0.5,2.2,464158,1000,0,137852094,99,388,97750
gluten,nkgen,0,0.5,2.2,1000000,1000,0,324760061,184,899,308582
gluten,nkgen,0,0.5,2.2,2154434,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,4641588,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,10000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,21544346,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,46415888,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,2.2,100000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,2154,10,0,11648,30,1,81
gluten,nkgen,0,0.5,3.0,4641,10,0,23681,1,5,108
gluten,nkgen,0,0.5,3.0,10000,10,0,48921,2,7,328
gluten,nkgen,0,0.5,3.0,21544,10,0,108675,3,14,967
gluten,nkgen,0,0.5,3.0,46415,10,0,226137,8,35,3192
gluten,nkgen,0,0.5,3.0,100000,10,0,497458,16,68,8649
gluten,nkgen,0,0.5,3.0,215443,10,0,1073153,55,180,26393
gluten,nkgen,0,0.5,3.0,464158,10,0,2314251,105,367,79721
gluten,nkgen,0,0.5,3.0,1000000,10,0,5011934,190,875,247661
gluten,nkgen,0,0.5,3.0,2154434,10,0,10723537,349,1952,775173
gluten,nkgen,0,0.5,3.0,4641588,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,10000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,21544346,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,46415888,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,100000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,2154,100,0,103559,28,1,92
gluten,nkgen,0,0.5,3.0,4641,100,0,213433,17,6,178
gluten,nkgen,0,0.5,3.0,10000,100,0,491997,2,22,391
gluten,nkgen,0,0.5,3.0,21544,100,0,1069003,31,14,1078
gluten,nkgen,0,0.5,3.0,46415,100,0,2322252,8,34,3308
gluten,nkgen,0,0.5,3.0,100000,100,0,5005122,17,69,9000
