[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,0,HyperGen,10000000,100,1,0.0,10854.8,500277473,100.055
[CSV]compute5,0,HyperGen,21544346,100,1,0.0,24414,1076673533,99.9495
[CSV]compute5,0,HyperGen,46415888,100,1,0.0,52238.7,2322097846,100.056
[CSV]compute5,0,HyperGen,100000000,100,1,0.0,111779,4994649431,99.893
[CSV]compute5,0,HyperGen,21544,1000,1,0.0,89.7287,11266751,1045.93
[CSV]compute5,0,HyperGen,46415,1000,1,0.0,192.482,24207660,1043.1
[CSV]compute5,0,HyperGen,100000,1000,1,0.0,404.901,52175041,1043.5
[CSV]compute5,0,HyperGen,215443,1000,1,0.0,861.692,110573865,1026.48
[CSV]compute5,0,HyperGen,464158,1000,1,0.0,1828.28,236318836,1018.27
[CSV]compute5,0,HyperGen,1000000,1000,1,0.0,3954.33,508677137,1017.35
[CSV]compute5,0,HyperGen,2154434,1000,1,0.0,8492.92,1092031371,1013.75
[CSV]compute5,0,HyperGen,4641588,1000,1,0.0,18254.9,2341993236,1009.13
[CSV]compute5,0,HyperGen,10000000,1000,1,0.0,39141.2,5026696405,1005.34
[CSV]compute5,0,HyperGen,21544346,1000,1,0.0,84266,10803937784,1002.95
[CSV]compute5,0,HyperGen,46415888,1000,1,0.0,181543,23283289633,1003.25
[CSV]compute5,1,HyperGen,10000,10,0.6,0.0,8.02667,49664,9.9328
[CSV]compute5,1,HyperGen,10000,10,0.6,0.0,8.12076,51237,10.2474
[CSV]compute5,1,HyperGen,21544,10,0.6,0.0,16.6035,116525,10.8174
[CSV]compute5,1,HyperGen,46415,10,0.6,0.0,36.3631,249848,10.7658
[CSV]compute5,1,HyperGen,100000,10,0.6,0.0,78.6439,586903,11.7381
[CSV]compute5,1,HyperGen,215443,10,0.6,0.0,178.623,1230736,11.4252
[CSV]compute5,1,HyperGen,464158,10,0.6,0.0,390.194,2346801,10.1121
[CSV]compute5,1,HyperGen,1000000,10,0.6,0.0,845.259,4960401,9.9208
[CSV]compute5,1,HyperGen,2154434,10,0.6,0.0,1593.91,10635391,9.87303
[CSV]compute5,1,HyperGen,4641588,10,0.6,0.0,3463.55,24076717,10.3743
[CSV]compute5,1,HyperGen,10000000,10,0.6,0.0,8119.82,48414439,9.68289
[CSV]compute5,1,HyperGen,21544346,10,0.6,0.0,17281,109747842,10.1881
[CSV]compute5,1,HyperGen,46415888,10,0.6,0.0,36286.7,225713562,9.7257
[CSV]compute5,1,HyperGen,100000000,10,0.6,0.0,69525.8,468010768,9.36022
[CSV]compute5,1,HyperGen,10000,100,0.6,0.0,13.5512,485951,97.1902
[CSV]compute5,1,HyperGen,10000,100,0.6,0.0,13.7209,528992,105.798
[CSV]compute5,1,HyperGen,21544,100,0.6,0.0,29.8004,1115980,103.6
[CSV]compute5,1,HyperGen,46415,100,0.6,0.0,62.1754,2407772,103.75
[CSV]compute5,1,HyperGen,100000,100,0.6,0.0,123.85,5233766,104.675
[CSV]compute5,1,HyperGen,215443,100,0.6,0.0,264.443,10738503,99.6876
[CSV]compute5,1,HyperGen,464158,100,0.6,0.0,574.743,24191606,104.239
[CSV]compute5,1,HyperGen,1000000,100,0.6,0.0,1241.3,51231543,102.463
[CSV]compute5,1,HyperGen,2154434,100,0.6,0.0,2834.18,111569587,103.572
[CSV]compute5,1,HyperGen,4641588,100,0.6,0.0,6241.12,241057953,103.869
[CSV]compute5,1,HyperGen,10000000,100,0.6,0.0,13476.5,519233229,103.847
[CSV]compute5,1,HyperGen,21544346,100,0.6,0.0,25924.4,1097825411,101.913
[CSV]compute5,1,HyperGen,46415888,100,0.6,0.0,55947.3,2344390827,101.017
[CSV]compute5,1,HyperGen,100000000,100,0.6,0.0,131449,4977896437,99.5579
[CSV]compute5,1,HyperGen,21544,1000,0.6,0.0,85.9747,10540652,978.523
[CSV]compute5,1,HyperGen,46415,1000,0.6,0.0,185.315,23770691,1024.27
[CSV]compute5,1,HyperGen,100000,1000,0.6,0.0,393.037,50802823,1016.06
[CSV]compute5,1,HyperGen,215443,1000,0.6,0.0,903.851,109204490,1013.77
[CSV]compute5,1,HyperGen,464158,1000,0.6,0.0,1955.1,237722560,1024.32
[CSV]compute5,1,HyperGen,1000000,1000,0.6,0.0,3908.85,510776757,1021.55
[CSV]compute5,1,HyperGen,2154434,1000,0.6,0.0,8464.67,1110718443,1031.1
[CSV]compute5,1,HyperGen,4641588,1000,0.6,0.0,18214.7,2424675102,1044.76
[CSV]compute5,1,HyperGen,10000000,1000,0.6,0.0,38969.7,5127818502,1025.56
[CSV]compute5,1,HyperGen,21544346,1000,0.6,0.0,90787,10983959215,1019.66
[CSV]compute5,1,HyperGen,46415888,1000,0.6,0.0,198131,24048359475,1036.21
[CSV]compute5,1,HyperGen,10000,10,1,0.0,7.66208,50409,10.0818
[CSV]compute5,1,HyperGen,10000,10,1,0.0,7.24176,50753,10.1506
[CSV]compute5,1,HyperGen,21544,10,1,0.0,15.3982,107559,9.98505
[CSV]compute5,1,HyperGen,46415,10,1,0.0,34.4269,233508,10.0617
[CSV]compute5,1,HyperGen,100000,10,1,0.0,68.2083,504572,10.0914
[CSV]compute5,1,HyperGen,215443,10,1,0.0,142.944,1082765,10.0515
[CSV]compute5,1,HyperGen,464158,10,1,0.0,306.585,2342105,10.0918
[CSV]compute5,1,HyperGen,1000000,10,1,0.0,663.33,5007951,10.0159
[CSV]compute5,1,HyperGen,2154434,10,1,0.0,1583.09,10790756,10.0173
[CSV]compute5,1,HyperGen,4641588,10,1,0.0,3318.44,23109053,9.95739
[CSV]compute5,1,HyperGen,10000000,10,1,0.0,6996.5,49922504,9.9845
[CSV]compute5,1,HyperGen,21544346,10,1,0.0,14869.5,106769176,9.91157
[CSV]compute5,1,HyperGen,46415888,10,1,0.0,33066.9,224433059,9.67053
[CSV]compute5,1,HyperGen,100000000,10,1,0.0,68242.9,458568972,9.17138
[CSV]compute5,1,HyperGen,10000,100,1,0.0,12.2965,522981,104.596
[CSV]compute5,1,HyperGen,10000,100,1,0.0,12.0012,511789,102.358
[CSV]compute5,1,HyperGen,21544,100,1,0.0,25.4284,1090200,101.207
[CSV]compute5,1,HyperGen,46415,100,1,0.0,54.2945,2372257,102.219
[CSV]compute5,1,HyperGen,100000,100,1,0.0,117.101,5121720,102.434
[CSV]compute5,1,HyperGen,215443,100,1,0.0,246.216,10929649,101.462
[CSV]compute5,1,HyperGen,464158,100,1,0.0,527.194,23670184,101.992
[CSV]compute5,1,HyperGen,1000000,100,1,0.0,1120.88,50252190,100.504
[CSV]compute5,1,HyperGen,2154434,100,1,0.0,2375.64,108569432,100.787
[CSV]compute5,1,HyperGen,4641588,100,1,0.0,5172.4,232918147,100.361
[CSV]compute5,1,HyperGen,10000000,100,1,0.0,11083.9,500473443,100.095
[CSV]compute5,1,HyperGen,21544346,100,1,0.0,23805.4,1077139856,99.9928
[CSV]compute5,1,HyperGen,46415888,100,1,0.0,52164.3,2320601606,99.9917
[CSV]compute5,1,HyperGen,100000000,100,1,0.0,110841,4994068174,99.8814
[CSV]compute5,1,HyperGen,21544,1000,1,0.0,90.2166,11194649,1039.24
[CSV]compute5,1,HyperGen,46415,1000,1,0.0,190.917,23868421,1028.48
[CSV]compute5,1,HyperGen,100000,1000,1,0.0,406.782,52149742,1042.99
[CSV]compute5,1,HyperGen,215443,1000,1,0.0,869.216,111831422,1038.15
[CSV]compute5,1,HyperGen,464158,1000,1,0.0,1826.45,235546361,1014.94
[CSV]compute5,1,HyperGen,1000000,1000,1,0.0,3932.16,507645229,1015.29
[CSV]compute5,1,HyperGen,2154434,1000,1,0.0,8464.45,1085670586,1007.85
[CSV]compute5,1,HyperGen,4641588,1000,1,0.0,18164.6,2332838052,1005.19
[CSV]compute5,1,HyperGen,10000000,1000,1,0.0,39143.9,5027538665,1005.51
[CSV]compute5,1,HyperGen,21544346,1000,1,0.0,84005.3,10829815425,1005.35
[CSV]compute5,1,HyperGen,46415888,1000,1,0.0,181460,23264133449,1002.42
[CSV]compute5,2,HyperGen,10000,10,0.6,0.0,7.70009,51376,10.2752
[CSV]compute5,2,HyperGen,10000,10,0.6,0.0,7.93127,53018,10.6036
