host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkgen,0,0.0,3.0,100000000,100,0,4997678262,35132,13255,444330
compute5,nkgen,0,0.0,3.0,4641,1000,0,2139735,0,0,246
compute5,nkgen,0,0.0,3.0,10000,1000,0,4943609,1,0,577
compute5,nkgen,0,0.0,3.0,21544,1000,0,10509203,4,1,1248
compute5,nkgen,0,0.0,3.0,46415,1000,0,23251984,8,3,2736
compute5,nkgen,0,0.0,3.0,100000,1000,0,50336034,20,7,5838
compute5,nkgen,0,0.0,3.0,215443,1000,0,107886264,45,17,12382
compute5,nkgen,0,0.0,3.0,464158,1000,0,232682933,103,38,27678
compute5,nkgen,0,0.0,3.0,1000000,1000,0,502357113,238,100,58194
compute5,nkgen,0,0.0,3.0,2154434,1000,0,1079528337,544,236,123294
compute5,nkgen,0,0.0,3.0,4641588,1000,0,2322438121,1280,513,259602
compute5,nkgen,0,0.0,3.0,10000000,1000,0,5002333076,2981,1181,560410
compute5,nkgen,0,0.0,3.0,21544346,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.0,3.0,46415888,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.0,3.0,100000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,2154,10,0,5066,0,1,187
compute5,nkgen,0,0.5,2.2,4641,10,0,12854,0,3,605
compute5,nkgen,0,0.5,2.2,10000,10,0,30031,1,6,1960
compute5,nkgen,0,0.5,2.2,21544,10,0,69975,4,12,5821
compute5,nkgen,0,0.5,2.2,46415,10,0,181218,9,33,17093
compute5,nkgen,0,0.5,2.2,100000,10,0,367174,19,59,50531
compute5,nkgen,0,0.5,2.2,215443,10,0,824800,45,160,160201
compute5,nkgen,0,0.5,2.2,464158,10,0,2205226,104,316,495468
compute5,nkgen,0,0.5,2.2,1000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,2154434,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,4641588,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,10000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,21544346,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,46415888,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,100000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,2154,100,0,44261,0,1,221
compute5,nkgen,0,0.5,2.2,4641,100,0,102282,0,3,666
compute5,nkgen,0,0.5,2.2,10000,100,0,241588,1,6,2096
compute5,nkgen,0,0.5,2.2,21544,100,0,633643,4,12,6500
compute5,nkgen,0,0.5,2.2,46415,100,0,1416305,8,30,20802
compute5,nkgen,0,0.5,2.2,100000,100,0,3489646,19,57,63968
compute5,nkgen,0,0.5,2.2,215443,100,0,7203290,44,166,194077
compute5,nkgen,0,0.5,2.2,464158,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,1000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,2154434,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,4641588,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,10000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,21544346,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,46415888,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,100000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,4641,1000,0,725695,0,3,1127
compute5,nkgen,0,0.5,2.2,10000,1000,0,1802191,1,6,3425
compute5,nkgen,0,0.5,2.2,21544,1000,0,4260154,4,12,9451
compute5,nkgen,0,0.5,2.2,46415,1000,0,10315904,9,30,28795
compute5,nkgen,0,0.5,2.2,100000,1000,0,24896610,19,58,81352
compute5,nkgen,0,0.5,2.2,215443,1000,0,60731577,44,155,252997
compute5,nkgen,0,0.5,2.2,464158,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,1000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,2154434,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,4641588,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,10000000,1000,0,-1,-1,-1,-1
