[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,compute5,0,420,215443,10,1,3,0,21.8265,75.3137,11.186,28.9971,35.1269,1076972,9.99774
[CSV]hypergirgs,compute5,0,430,464158,10,1,3,0,23.3616,160.003,23.3203,59.8592,76.321,2308908,9.9488
[CSV]hypergirgs,compute5,0,440,1000000,10,1,3,0,24.8968,350.157,54.0677,132.156,163.685,4997033,9.99407
[CSV]hypergirgs,compute5,0,450,2154434,10,1,3,0,26.4319,757.925,115.021,287.067,354.284,10753941,9.98308
[CSV]hypergirgs,compute5,0,460,4641588,10,1,3,0,27.9671,1647.22,256.65,622.592,767.124,23143055,9.97204
[CSV]hypergirgs,compute5,0,470,10000000,10,1,3,0,29.5022,3544.15,547.864,1351.3,1643.53,50012186,10.0024
[CSV]hypergirgs,compute5,0,480,21544346,10,1,3,0,31.0374,7677.15,1185.2,2940.71,3548.77,107523441,9.98159
[CSV]hypergirgs,compute5,0,490,46415888,10,1,3,0,32.5725,16885.9,2534.9,6687.03,7659.17,231374958,9.96964
[CSV]hypergirgs,compute5,0,500,100000000,10,1,3,0,34.1046,37022.6,5494.52,15252.8,16265.8,499844533,9.99689
[CSV]hypergirgs,compute5,0,510,10000,100,1,3,0,11.0622,9.63985,0.703748,1.38314,7.55029,500051,100.01
[CSV]hypergirgs,compute5,0,520,21544,100,1,3,0,12.6063,20.8495,1.3839,2.75406,16.7078,1048815,97.3649
[CSV]hypergirgs,compute5,0,530,46415,100,1,3,0,14.1455,46.5469,2.98267,5.69187,37.8694,2326028,100.227
[CSV]hypergirgs,compute5,0,540,100000,100,1,3,0,15.683,99.3702,6.44653,12.4978,80.4209,5035878,100.718
[CSV]hypergirgs,compute5,0,550,215443,100,1,3,0,17.2191,218.001,13.9977,27.7243,176.274,10858915,100.805
[CSV]hypergirgs,compute5,0,560,464158,100,1,3,0,18.7545,457.584,30.8067,62.1602,363.94,23144549,99.727
[CSV]hypergirgs,compute5,0,570,1000000,100,1,3,0,20.2899,1029.22,70.271,141.173,817.527,50444489,100.889
[CSV]hypergirgs,compute5,0,580,2154434,100,1,3,0,21.825,2184.65,123.691,303.193,1756.56,107655073,99.9381
[CSV]hypergirgs,compute5,0,590,4641588,100,1,3,0,23.36,4453.3,261.675,635.851,3554.93,231978495,99.9565
[CSV]hypergirgs,compute5,0,600,10000000,100,1,3,0,24.8951,9496.54,551.698,1327.18,7616.38,499801081,99.9602
[CSV]hypergirgs,compute5,0,610,21544346,100,1,3,0,26.4301,21104.8,1184.7,2869.16,17048.5,1078743699,100.142
[CSV]hypergirgs,compute5,0,620,46415888,100,1,3,0,27.9655,46416.6,2542.3,6300.2,37569.3,2321710887,100.039
[CSV]hypergirgs,compute5,0,630,100000000,100,1,3,0,29.5006,98719.3,5453.66,13816.8,79439.4,4995432536,99.9087
[CSV]hypergirgs,compute5,0,640,21544,1000,1,3,0,7.93843,131.747,1.45969,2.54868,127.732,10845829,1006.85
[CSV]hypergirgs,compute5,0,650,46415,1000,1,3,0,9.50959,277.744,3.01127,5.69311,269.036,23518081,1013.38
[CSV]hypergirgs,compute5,0,660,100000,1000,1,3,0,11.0624,586.605,6.48661,11.9091,568.204,49734042,994.681
[CSV]hypergirgs,compute5,0,670,215443,1000,1,3,0,12.6062,1338.53,14.2561,25.8656,1298.4,107708429,999.879
[CSV]hypergirgs,compute5,0,680,464158,1000,1,3,0,14.1456,2995.04,31.1503,60.121,2903.13,233081965,1004.32
[CSV]hypergirgs,compute5,0,690,1000000,1000,1,3,0,15.6828,6319.44,72.754,134.841,6111.6,502760162,1005.52
[CSV]hypergirgs,compute5,0,700,2154434,1000,1,3,0,17.2189,13899.2,151.419,306.96,13439.6,1078568668,1001.25
[CSV]hypergirgs,compute5,0,710,4641588,1000,1,3,0,18.7545,28315.9,335.816,667.03,27312.1,2325272215,1001.93
[CSV]hypergirgs,compute5,0,720,10000000,1000,1,3,0,20.2899,63056.7,695.432,1442.88,60917,5004602416,1000.92
[CSV]hypergirgs,compute5,0,730,21544346,1000,1,3,0,21.8251,136502,1272.43,3026.55,132201,10771956337,999.98
[CSV]hypergirgs,compute5,0,760,10000,10,0.6,2.2,0.5,20.9825,31.7988,0.695335,11.2817,19.8129,24332,4.8664
