host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkbin,0,0.5,3.0,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,3.0,4641,1000,0,1820612,0,0,720
compute5,nkbin,0,0.5,3.0,10000,1000,0,4437242,1,0,1827
compute5,nkbin,0,0.5,3.0,21544,1000,0,10079944,3,2,4354
compute5,nkbin,0,0.5,3.0,46415,1000,0,22463437,7,4,9736
compute5,nkbin,0,0.5,3.0,100000,1000,0,48832802,17,10,21339
compute5,nkbin,0,0.5,3.0,215443,1000,0,105785387,39,22,47543
compute5,nkbin,0,0.5,3.0,464158,1000,0,232132758,92,56,109520
compute5,nkbin,0,0.5,3.0,1000000,1000,0,500329837,215,132,229121
compute5,nkbin,0,0.5,3.0,2154434,1000,0,1076596770,476,290,479989
compute5,nkbin,0,0.5,3.0,4641588,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,3.0,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,3.0,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,3.0,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,3.0,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,2154,10,0,3059,0,0,7
compute5,nkbin,0,0.9,2.2,4641,10,0,6917,0,0,18
compute5,nkbin,0,0.9,2.2,10000,10,0,17159,1,0,46
compute5,nkbin,0,0.9,2.2,21544,10,0,42542,3,1,93
compute5,nkbin,0,0.9,2.2,46415,10,0,94316,7,3,217
compute5,nkbin,0,0.9,2.2,100000,10,0,208811,17,10,526
compute5,nkbin,0,0.9,2.2,215443,10,0,470126,39,22,1296
compute5,nkbin,0,0.9,2.2,464158,10,0,1234777,91,51,3269
compute5,nkbin,0,0.9,2.2,1000000,10,0,2503137,214,114,6292
compute5,nkbin,0,0.9,2.2,2154434,10,0,6443976,476,263,15543
compute5,nkbin,0,0.9,2.2,4641588,10,0,13397895,1130,590,37198
compute5,nkbin,0,0.9,2.2,10000000,10,0,29734044,2690,1264,90299
compute5,nkbin,0,0.9,2.2,21544346,10,0,69628878,6296,2773,174176
compute5,nkbin,0,0.9,2.2,46415888,10,0,153330936,14592,6318,410092
compute5,nkbin,0,0.9,2.2,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,2154,100,0,21950,0,0,20
compute5,nkbin,0,0.9,2.2,4641,100,0,55113,0,0,48
compute5,nkbin,0,0.9,2.2,10000,100,0,123555,1,0,119
compute5,nkbin,0,0.9,2.2,21544,100,0,335196,3,1,279
compute5,nkbin,0,0.9,2.2,46415,100,0,766835,7,4,639
compute5,nkbin,0,0.9,2.2,100000,100,0,1804486,17,9,1538
compute5,nkbin,0,0.9,2.2,215443,100,0,4112727,38,21,3687
compute5,nkbin,0,0.9,2.2,464158,100,0,10018034,89,53,9183
compute5,nkbin,0,0.9,2.2,1000000,100,0,22224919,209,116,19476
compute5,nkbin,0,0.9,2.2,2154434,100,0,53240256,480,257,46874
compute5,nkbin,0,0.9,2.2,4641588,100,0,116752904,1166,574,110581
compute5,nkbin,0,0.9,2.2,10000000,100,0,272259744,2765,1305,266130
compute5,nkbin,0,0.9,2.2,21544346,100,0,601411270,6429,2847,557635
compute5,nkbin,0,0.9,2.2,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,4641,1000,0,329510,0,0,181
compute5,nkbin,0,0.9,2.2,10000,1000,0,829352,1,0,466
compute5,nkbin,0,0.9,2.2,21544,1000,0,2145205,3,2,1167
compute5,nkbin,0,0.9,2.2,46415,1000,0,5221073,7,4,2798
compute5,nkbin,0,0.9,2.2,100000,1000,0,12820719,17,10,6801
compute5,nkbin,0,0.9,2.2,215443,1000,0,31479297,39,23,17146
compute5,nkbin,0,0.9,2.2,464158,1000,0,75960660,90,53,42724
compute5,nkbin,0,0.9,2.2,1000000,1000,0,181350860,206,118,100882
compute5,nkbin,0,0.9,2.2,2154434,1000,0,415834300,477,264,237503
compute5,nkbin,0,0.9,2.2,4641588,1000,0,970241037,1162,586,572155
compute5,nkbin,0,0.9,2.2,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,2.2,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,2154,10,0,5999,0,0,10
compute5,nkbin,0,0.9,3.0,4641,10,0,13711,0,0,23
compute5,nkbin,0,0.9,3.0,10000,10,0,30894,1,0,60
compute5,nkbin,0,0.9,3.0,21544,10,0,70196,3,1,124
compute5,nkbin,0,0.9,3.0,46415,10,0,161652,6,3,277
compute5,nkbin,0,0.9,3.0,100000,10,0,349397,16,8,643
compute5,nkbin,0,0.9,3.0,215443,10,0,786394,36,19,1602
compute5,nkbin,0,0.9,3.0,464158,10,0,1755415,83,44,4085
compute5,nkbin,0,0.9,3.0,1000000,10,0,3867093,201,106,7709
compute5,nkbin,0,0.9,3.0,2154434,10,0,8537416,466,250,17867
compute5,nkbin,0,0.9,3.0,4641588,10,0,18866269,1116,576,43851
compute5,nkbin,0,0.9,3.0,10000000,10,0,41300259,2663,1211,109119
compute5,nkbin,0,0.9,3.0,21544346,10,0,90618104,6322,2585,204197
compute5,nkbin,0,0.9,3.0,46415888,10,0,198270210,14578,5984,463786
compute5,nkbin,0,0.9,3.0,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,2154,100,0,46173,0,0,33
compute5,nkbin,0,0.9,3.0,4641,100,0,104495,0,0,76
compute5,nkbin,0,0.9,3.0,10000,100,0,262003,1,0,200
compute5,nkbin,0,0.9,3.0,21544,100,0,600560,3,1,455
compute5,nkbin,0,0.9,3.0,46415,100,0,1363998,7,4,985
compute5,nkbin,0,0.9,3.0,100000,100,0,3112789,17,11,2250
compute5,nkbin,0,0.9,3.0,215443,100,0,6993293,38,26,5441
compute5,nkbin,0,0.9,3.0,464158,100,0,15815676,87,52,13688
compute5,nkbin,0,0.9,3.0,1000000,100,0,35600037,204,107,28280
compute5,nkbin,0,0.9,3.0,2154434,100,0,78886299,485,257,63240
compute5,nkbin,0,0.9,3.0,4641588,100,0,175080433,1110,576,148313
compute5,nkbin,0,0.9,3.0,10000000,100,0,387856228,2688,1229,362076
compute5,nkbin,0,0.9,3.0,21544346,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,4641,1000,0,732793,0,0,360
compute5,nkbin,0,0.9,3.0,10000,1000,0,1893752,1,0,976
compute5,nkbin,0,0.9,3.0,21544,1000,0,4495256,3,1,2426
compute5,nkbin,0,0.9,3.0,46415,1000,0,10955665,7,4,5670
compute5,nkbin,0,0.9,3.0,100000,1000,0,26039143,17,10,13247
compute5,nkbin,0,0.9,3.0,215443,1000,0,59526486,38,22,31155
compute5,nkbin,0,0.9,3.0,464158,1000,0,137283885,89,54,78614
compute5,nkbin,0,0.9,3.0,1000000,1000,0,311717723,206,127,173480
compute5,nkbin,0,0.9,3.0,2154434,1000,0,709214040,467,294,391412
compute5,nkbin,0,0.9,3.0,4641588,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,0,0.9,3.0,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,2154,10,0,4948,0,0,8
compute5,nkbin,1,0.5,2.2,4641,10,0,11671,0,0,19
compute5,nkbin,1,0.5,2.2,10000,10,0,27509,1,0,48
compute5,nkbin,1,0.5,2.2,21544,10,0,71633,3,1,98
compute5,nkbin,1,0.5,2.2,46415,10,0,177736,7,3,230
compute5,nkbin,1,0.5,2.2,100000,10,0,335124,16,9,515
compute5,nkbin,1,0.5,2.2,215443,10,0,830430,38,20,1269
compute5,nkbin,1,0.5,2.2,464158,10,0,1711052,89,53,2994
compute5,nkbin,1,0.5,2.2,1000000,10,0,3801454,205,112,5752
compute5,nkbin,1,0.5,2.2,2154434,10,0,10197413,486,255,13852
compute5,nkbin,1,0.5,2.2,4641588,10,0,19601427,1156,585,31859
compute5,nkbin,1,0.5,2.2,10000000,10,0,43233447,2732,1279,74153
compute5,nkbin,1,0.5,2.2,21544346,10,0,92284514,6398,2813,141211
compute5,nkbin,1,0.5,2.2,46415888,10,0,220730285,14705,6382,336904
compute5,nkbin,1,0.5,2.2,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,2154,100,0,51045,0,0,32
compute5,nkbin,1,0.5,2.2,4641,100,0,113050,0,0,73
compute5,nkbin,1,0.5,2.2,10000,100,0,220897,1,0,158
compute5,nkbin,1,0.5,2.2,21544,100,0,610743,3,1,385
compute5,nkbin,1,0.5,2.2,46415,100,0,1363543,7,4,854
compute5,nkbin,1,0.5,2.2,100000,100,0,3374022,17,10,2022
compute5,nkbin,1,0.5,2.2,215443,100,0,7279037,38,23,4591
compute5,nkbin,1,0.5,2.2,464158,100,0,16435688,89,56,10558
compute5,nkbin,1,0.5,2.2,1000000,100,0,36717418,205,114,22311
compute5,nkbin,1,0.5,2.2,2154434,100,0,82650069,487,262,50397
compute5,nkbin,1,0.5,2.2,4641588,100,0,184889005,1169,576,115360
compute5,nkbin,1,0.5,2.2,10000000,100,0,410977154,2780,1314,264204
compute5,nkbin,1,0.5,2.2,21544346,100,0,900204302,6581,2888,547832
compute5,nkbin,1,0.5,2.2,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,4641,1000,0,680100,0,0,304
compute5,nkbin,1,0.5,2.2,10000,1000,0,1673716,1,0,777
compute5,nkbin,1,0.5,2.2,21544,1000,0,4321764,3,2,1977
compute5,nkbin,1,0.5,2.2,46415,1000,0,10748976,7,4,4860
compute5,nkbin,1,0.5,2.2,100000,1000,0,25355262,17,10,11509
compute5,nkbin,1,0.5,2.2,215443,1000,0,60866546,38,24,27696
compute5,nkbin,1,0.5,2.2,464158,1000,0,138681596,90,54,63225
compute5,nkbin,1,0.5,2.2,1000000,1000,0,318509064,206,133,139336
compute5,nkbin,1,0.5,2.2,2154434,1000,0,723483673,484,294,312333
compute5,nkbin,1,0.5,2.2,4641588,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,2.2,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,2154,10,0,10974,0,0,12
compute5,nkbin,1,0.5,3.0,4641,10,0,22409,0,0,28
compute5,nkbin,1,0.5,3.0,10000,10,0,48025,1,0,66
compute5,nkbin,1,0.5,3.0,21544,10,0,105393,3,1,133
compute5,nkbin,1,0.5,3.0,46415,10,0,232543,7,4,285
compute5,nkbin,1,0.5,3.0,100000,10,0,495038,16,9,639
compute5,nkbin,1,0.5,3.0,215443,10,0,1085485,36,21,1528
compute5,nkbin,1,0.5,3.0,464158,10,0,2322235,84,47,3641
compute5,nkbin,1,0.5,3.0,1000000,10,0,4971893,194,107,6720
compute5,nkbin,1,0.5,3.0,2154434,10,0,10744183,463,257,15143
compute5,nkbin,1,0.5,3.0,4641588,10,0,23205020,1116,580,35552
compute5,nkbin,1,0.5,3.0,10000000,10,0,50076668,2694,1242,85238
