[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,Embedder,2154434,10,0.6,0.5,31.7279,19429.3,7967911,7.39676
[CSV]thomas-desktop,0,Embedder,4641588,10,0.6,0.5,33.263,42209.6,17959813,7.73865
[CSV]thomas-desktop,0,Embedder,10000000,10,0.6,0.5,34.7981,128232,35176559,7.03531
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0.5,16.3774,129.349,230251,46.0502
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0.5,16.3774,133.96,225419,45.0838
[CSV]thomas-desktop,0,Embedder,21544,100,0.6,0.5,17.9124,307.311,516044,47.9061
[CSV]thomas-desktop,0,Embedder,46415,100,0.6,0.5,19.4475,493.235,1115566,48.0692
[CSV]thomas-desktop,0,Embedder,100000,100,0.6,0.5,20.9825,1171.2,2708930,54.1786
[CSV]thomas-desktop,0,Embedder,215443,100,0.6,0.5,22.5176,2543.2,5465834,50.7404
[CSV]thomas-desktop,0,Embedder,464158,100,0.6,0.5,24.0527,6210.96,13427951,57.8594
[CSV]thomas-desktop,0,Embedder,1000000,100,0.6,0.5,25.5877,14693.7,29920017,59.84
[CSV]thomas-desktop,0,Embedder,2154434,100,0.6,0.5,27.1228,36120.3,69409413,64.434
[CSV]thomas-desktop,0,Embedder,4641588,100,0.6,0.5,28.6578,83155.8,151282940,65.1859
[CSV]thomas-desktop,0,Embedder,21544,1000,0.6,0.5,13.3072,1668.45,3676741,341.324
[CSV]thomas-desktop,0,Embedder,46415,1000,0.6,0.5,14.8423,4338.97,9002131,387.897
[CSV]thomas-desktop,0,Embedder,100000,1000,0.6,0.5,16.3774,11130.1,21758340,435.167
[CSV]thomas-desktop,0,Embedder,215443,1000,0.6,0.5,17.9124,28044.8,52245295,485.003
[CSV]thomas-desktop,0,Embedder,464158,1000,0.6,0.5,19.4475,37644.6,106703892,459.774
[CSV]thomas-desktop,0,Embedder,1000000,1000,0.6,0.5,20.9825,89950.5,245954448,491.909
[CSV]thomas-desktop,0,Embedder,2154434,1000,0.6,0.5,22.5176,222035,580282654,538.687
[CSV]thomas-desktop,0,Embedder,10000,10,1,0.5,16.5881,44.4635,45419,9.0838
[CSV]thomas-desktop,0,Embedder,10000,10,1,0.5,16.5881,44.4724,44899,8.9798
[CSV]thomas-desktop,0,Embedder,21544,10,1,0.5,18.1231,87.2683,86720,8.0505
[CSV]thomas-desktop,0,Embedder,46415,10,1,0.5,19.6582,182.089,191473,8.25048
[CSV]thomas-desktop,0,Embedder,100000,10,1,0.5,21.1933,384.909,421427,8.42854
[CSV]thomas-desktop,0,Embedder,215443,10,1,0.5,22.7283,820.343,911414,8.46084
[CSV]thomas-desktop,0,Embedder,464158,10,1,0.5,24.2634,1726.91,1984345,8.5503
[CSV]thomas-desktop,0,Embedder,1000000,10,1,0.5,25.7984,3890.59,4307350,8.6147
[CSV]thomas-desktop,0,Embedder,2154434,10,1,0.5,27.3335,8926.84,9440062,8.76338
[CSV]thomas-desktop,0,Embedder,4641588,10,1,0.5,28.8686,20432.2,20471191,8.82077
[CSV]thomas-desktop,0,Embedder,10000000,10,1,0.5,30.4036,45987.3,44487857,8.89757
[CSV]thomas-desktop,0,Embedder,21544346,10,1,0.5,31.9387,95640.3,87576675,8.1299
[CSV]thomas-desktop,0,Embedder,46415888,10,1,0.5,33.4737,205420,190924967,8.22671
[CSV]thomas-desktop,0,Embedder,10000,100,1,0.5,11.9829,247.935,422941,84.5882
[CSV]thomas-desktop,0,Embedder,10000,100,1,0.5,11.9829,242.213,414154,82.8308
[CSV]thomas-desktop,0,Embedder,21544,100,1,0.5,13.518,556.649,889610,82.5854
[CSV]thomas-desktop,0,Embedder,46415,100,1,0.5,15.053,1277.55,1989803,85.7397
[CSV]thomas-desktop,0,Embedder,100000,100,1,0.5,16.5881,3089.52,4398043,87.9609
[CSV]thomas-desktop,0,Embedder,215443,100,1,0.5,18.1232,3582.21,8151143,75.6687
[CSV]thomas-desktop,0,Embedder,464158,100,1,0.5,19.6582,7987.88,17978782,77.4684
[CSV]thomas-desktop,0,Embedder,1000000,100,1,0.5,21.1933,18326.3,39611603,79.2232
[CSV]thomas-desktop,0,Embedder,2154434,100,1,0.5,22.7283,41496.8,86257920,80.0748
[CSV]thomas-desktop,0,Embedder,4641588,100,1,0.5,24.2634,91475.4,189460061,81.6359
[CSV]thomas-desktop,0,Embedder,10000000,100,1,0.5,25.7984,202882,414378161,82.8756
[CSV]thomas-desktop,0,Embedder,21544,1000,1,0.5,8.91278,3919.41,8206502,761.836
[CSV]thomas-desktop,0,Embedder,46415,1000,1,0.5,10.4478,9563.99,18728720,807.012
[CSV]thomas-desktop,0,Embedder,100000,1000,1,0.5,11.9829,22532.1,41422249,828.445
[CSV]thomas-desktop,0,Embedder,215443,1000,1,0.5,13.518,52607,90678634,841.788
[CSV]thomas-desktop,0,Embedder,464158,1000,1,0.5,15.053,121560,196848014,848.194
[CSV]thomas-desktop,0,Embedder,10000,10,0.6,0.9,24.5068,422.252,12825,2.565
[CSV]thomas-desktop,0,Embedder,10000,10,0.6,0.9,24.5068,418.219,13147,2.6294
[CSV]thomas-desktop,0,Embedder,21544,10,0.6,0.9,26.0419,809.544,26889,2.49619
[CSV]thomas-desktop,0,Embedder,46415,10,0.6,0.9,27.5769,1568.6,54569,2.35135
[CSV]thomas-desktop,0,Embedder,100000,10,0.6,0.9,29.112,3136.45,124860,2.4972
[CSV]thomas-desktop,0,Embedder,215443,10,0.6,0.9,30.6471,12389.6,288592,2.67906
[CSV]thomas-desktop,0,Embedder,464158,10,0.6,0.9,32.1821,24878.1,587064,2.52959
