[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,HyperGen,215443,100,1,0.0,224.146,10843991,100.667
[CSV]thomas-desktop,0,HyperGen,464158,100,1,0.0,468.242,23233916,100.112
[CSV]thomas-desktop,0,HyperGen,1000000,100,1,0.0,1005.4,50049769,100.1
[CSV]thomas-desktop,0,HyperGen,2154434,100,1,0.0,2170.15,107691141,99.9716
[CSV]thomas-desktop,0,HyperGen,4641588,100,1,0.0,4584.28,232367833,100.124
[CSV]thomas-desktop,0,HyperGen,10000000,100,1,0.0,9703.96,500277473,100.055
[CSV]thomas-desktop,0,HyperGen,21544346,100,1,0.0,21922.3,1076673533,99.9495
[CSV]thomas-desktop,0,HyperGen,46415888,100,1,0.0,46796.7,2322097846,100.056
[CSV]thomas-desktop,0,HyperGen,100000000,100,1,0.0,99814.8,4994649431,99.893
[CSV]thomas-desktop,0,HyperGen,21544,1000,1,0.0,68.5352,11266751,1045.93
[CSV]thomas-desktop,0,HyperGen,46415,1000,1,0.0,147.272,24207660,1043.1
[CSV]thomas-desktop,0,HyperGen,100000,1000,1,0.0,302.599,52175041,1043.5
[CSV]thomas-desktop,0,HyperGen,215443,1000,1,0.0,636.671,110573865,1026.48
[CSV]thomas-desktop,0,HyperGen,464158,1000,1,0.0,1336.68,236318836,1018.27
[CSV]thomas-desktop,0,HyperGen,1000000,1000,1,0.0,2886.85,508677137,1017.35
[CSV]thomas-desktop,0,HyperGen,2154434,1000,1,0.0,6202.63,1092031371,1013.75
[CSV]thomas-desktop,0,HyperGen,4641588,1000,1,0.0,13334.2,2341993236,1009.13
[CSV]thomas-desktop,0,HyperGen,10000000,1000,1,0.0,28573.6,5026696405,1005.34
[CSV]thomas-desktop,0,HyperGen,21544346,1000,1,0.0,61475.9,10803937784,1002.95
[CSV]thomas-desktop,0,HyperGen,46415888,1000,1,0.0,132625,23283289633,1003.25
[CSV]thomas-desktop,1,HyperGen,10000,10,0.6,0.0,8.20066,49664,9.9328
[CSV]thomas-desktop,1,HyperGen,10000,10,0.6,0.0,8.60698,51237,10.2474
[CSV]thomas-desktop,1,HyperGen,21544,10,0.6,0.0,17.3632,116525,10.8174
[CSV]thomas-desktop,1,HyperGen,46415,10,0.6,0.0,36.6814,249848,10.7658
