[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,NkOpt,215443,100,1,3,17.2191,0.0,308.304,10688900,99.2272
[CSV]thomas-desktop,0,NkOpt,464158,100,1,3,18.7545,0.0,685.22,23413981,100.888
[CSV]thomas-desktop,0,NkOpt,1000000,100,1,3,20.2899,0.0,1425.01,49917066,99.8341
[CSV]thomas-desktop,0,NkOpt,2154434,100,1,3,21.825,0.0,3139.86,107694415,99.9747
[CSV]thomas-desktop,0,NkOpt,4641588,100,1,3,23.36,0.0,7017.23,232960028,100.379
[CSV]thomas-desktop,0,NkOpt,10000000,100,1,3,24.8951,0.0,15695.4,500093697,100.019
[CSV]thomas-desktop,0,NkOpt,21544346,100,1,3,26.4301,0.0,33210.6,1075888414,99.8766
[CSV]thomas-desktop,0,NkOpt,46415888,100,1,3,27.9655,0.0,73445.9,2320567696,99.9902
[CSV]thomas-desktop,0,NkOpt,100000000,100,1,3,29.5006,0.0,163713,4999811290,99.9962
[CSV]thomas-desktop,0,NkOpt,21544,1000,1,3,7.93843,0.0,216.598,10748506,997.819
[CSV]thomas-desktop,0,NkOpt,46415,1000,1,3,9.50959,0.0,456.571,23465395,1011.11
[CSV]thomas-desktop,0,NkOpt,100000,1000,1,3,11.0624,0.0,966.696,50160645,1003.21
[CSV]thomas-desktop,0,NkOpt,215443,1000,1,3,12.6062,0.0,2091.74,108477804,1007.02
[CSV]thomas-desktop,0,NkOpt,464158,1000,1,3,14.1456,0.0,4528.69,231759801,998.625
[CSV]thomas-desktop,0,NkOpt,1000000,1000,1,3,15.6828,0.0,9641.54,499248339,998.497
[CSV]thomas-desktop,0,NkOpt,2154434,1000,1,3,17.2189,0.0,20764,1078745265,1001.42
[CSV]thomas-desktop,0,NkOpt,4641588,1000,1,3,18.7545,0.0,44829.7,2321030242,1000.1
[CSV]thomas-desktop,0,NkOpt,10000000,1000,1,3,20.2899,0.0,97601.2,5006126971,1001.23
[CSV]thomas-desktop,0,NkOpt,21544346,1000,1,3,21.8251,0.0,208596,10781300904,1000.85
[CSV]thomas-desktop,1,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.35595,55690,11.138
[CSV]thomas-desktop,1,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.06904,54922,10.9844
[CSV]thomas-desktop,1,NkOpt,21544,10,0.6,2.2,20.8558,0.0,10.2818,112734,10.4655
[CSV]thomas-desktop,1,NkOpt,46415,10,0.6,2.2,22.4896,0.0,23.6479,263707,11.363
[CSV]thomas-desktop,1,NkOpt,100000,10,0.6,2.2,24.112,0.0,50.1439,444946,8.89892
[CSV]thomas-desktop,1,NkOpt,215443,10,0.6,2.2,25.7171,0.0,115.195,1005842,9.33743
[CSV]thomas-desktop,1,NkOpt,464158,10,0.6,2.2,27.3193,0.0,267.17,2390283,10.2994
[CSV]thomas-desktop,1,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,550.705,4857431,9.71486
[CSV]thomas-desktop,1,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1284.98,10432326,9.68452
[CSV]thomas-desktop,1,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3007.46,22039108,9.49637
[CSV]thomas-desktop,1,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,7013.33,50024969,10.005
[CSV]thomas-desktop,1,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,14898.8,105964409,9.83686
[CSV]thomas-desktop,1,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,34747.7,241311839,10.3978
[CSV]thomas-desktop,1,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,79506.8,485909768,9.7182
[CSV]thomas-desktop,1,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.2556,516430,103.286
[CSV]thomas-desktop,1,NkOpt,10000,100,0.6,2.2,14.0942,0.0,16.0573,484701,96.9402
[CSV]thomas-desktop,1,NkOpt,21544,100,0.6,2.2,15.8307,0.0,33.8021,1049693,97.4464
[CSV]thomas-desktop,1,NkOpt,46415,100,0.6,2.2,17.531,0.0,70.8075,2179885,93.9302
[CSV]thomas-desktop,1,NkOpt,100000,100,0.6,2.2,19.2046,0.0,153.986,4751267,95.0253
[CSV]thomas-desktop,1,NkOpt,215443,100,0.6,2.2,20.8564,0.0,322.202,9914060,92.0342
[CSV]thomas-desktop,1,NkOpt,464158,100,0.6,2.2,22.4907,0.0,735.702,22688615,97.7625
[CSV]thomas-desktop,1,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1587.13,50679043,101.358
[CSV]thomas-desktop,1,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3426.36,105033113,97.5041
[CSV]thomas-desktop,1,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,7808.87,233914567,100.791
[CSV]thomas-desktop,1,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,17673.1,520720058,104.144
[CSV]thomas-desktop,1,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,36632.1,1071273726,99.4482
[CSV]thomas-desktop,1,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,81938,2335619871,100.639
[CSV]thomas-desktop,1,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,179796,4949801397,98.996
[CSV]thomas-desktop,1,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,213.03,9760849,906.132
[CSV]thomas-desktop,1,NkOpt,46415,1000,0.6,2.2,12.309,0.0,472.498,22424249,966.25
[CSV]thomas-desktop,1,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,1052.34,50033177,1000.66
[CSV]thomas-desktop,1,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,2225.34,104950333,974.275
[CSV]thomas-desktop,1,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,4795.88,224499389,967.34
[CSV]thomas-desktop,1,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,10368.8,487547222,975.094
[CSV]thomas-desktop,1,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,22476.4,1051927969,976.524
[CSV]thomas-desktop,1,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,49114,2289337950,986.446
[CSV]thomas-desktop,1,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,106855,4953146370,990.629
[CSV]thomas-desktop,1,NkOpt,10000,10,1,3,15.683,0.0,4.87948,48504,9.7008
[CSV]thomas-desktop,1,NkOpt,10000,10,1,3,15.683,0.0,4.87538,47697,9.5394
[CSV]thomas-desktop,1,NkOpt,21544,10,1,3,17.2179,0.0,9.80773,110739,10.2803
[CSV]thomas-desktop,1,NkOpt,46415,10,1,3,18.7527,0.0,20.6419,228088,9.8282
[CSV]thomas-desktop,1,NkOpt,100000,10,1,3,20.2913,0.0,47.4383,492519,9.85038
[CSV]thomas-desktop,1,NkOpt,215443,10,1,3,21.8265,0.0,107.379,1089980,10.1185
[CSV]thomas-desktop,1,NkOpt,464158,10,1,3,23.3616,0.0,244.217,2309708,9.95225
[CSV]thomas-desktop,1,NkOpt,1000000,10,1,3,24.8968,0.0,496.979,4976536,9.95307
[CSV]thomas-desktop,1,NkOpt,2154434,10,1,3,26.4319,0.0,1172.53,10783134,10.0102
[CSV]thomas-desktop,1,NkOpt,4641588,10,1,3,27.9671,0.0,2795.89,23139481,9.9705
